step,combination,modalities,modality,fold,training_seed,evaluation_count,baseline_accuracy,baseline_macro_f1,perturbed_accuracy,perturbed_macro_f1,delta_accuracy,delta_macro_f1,baseline_confusion_matrix,perturbed_confusion_matrix,replacement
step_04_N,M+MB+MR,"['M', 'MB', 'MR']",MB,1,2026,202,0.7574257425742574,0.7409103997068294,0.7079207920792079,0.7017741410804994,-0.04950495049504955,-0.03913625862632997,"[[51, 27], [22, 102]]","[[57, 21], [38, 86]]",zero_normalized_baseline
step_04_N,M+MB+MR,"['M', 'MB', 'MR']",MR,1,2026,202,0.7574257425742574,0.7409103997068294,0.40594059405940597,0.3248663101604278,-0.35148514851485146,-0.4160440895464016,"[[51, 27], [22, 102]]","[[76, 2], [118, 6]]",zero_normalized_baseline
step_04_N,M+MB+MR,"['M', 'MB', 'MR']",M,2,2026,200,0.78,0.7688104245481295,0.635,0.43496265335345796,-0.14500000000000002,-0.33384777119467157,"[[56, 21], [23, 100]]","[[4, 73], [0, 123]]",zero_normalized_baseline
step_04_N,M+MB+MR,"['M', 'MB', 'MR']",MB,2,2026,200,0.78,0.7688104245481295,0.615,0.614990374759369,-0.16500000000000004,-0.15382004978876052,"[[56, 21], [23, 100]]","[[61, 16], [61, 62]]",zero_normalized_baseline
step_04_N,M+MB+MR,"['M', 'MB', 'MR']",MR,2,2026,200,0.78,0.7688104245481295,0.395,0.29600000000000004,-0.385,-0.4728104245481295,"[[56, 21], [23, 100]]","[[77, 0], [121, 2]]",zero_normalized_baseline
step_04_N,M+MB+MR,"['M', 'MB', 'MR']",M,3,2026,199,0.7437185929648241,0.7075300423618915,0.7135678391959799,0.6514671992625596,-0.03015075376884424,-0.05606284309933196,"[[39, 38], [13, 109]]","[[29, 48], [9, 113]]",zero_normalized_baseline
step_04_N,M+MB+MR,"['M', 'MB', 'MR']",MB,3,2026,199,0.7437185929648241,0.7075300423618915,0.5979899497487438,0.5977360016171418,-0.14572864321608037,-0.10979404074474974,"[[39, 38], [13, 109]]","[[62, 15], [65, 57]]",zero_normalized_baseline
step_04_N,M+MB+MR,"['M', 'MB', 'MR']",MR,3,2026,199,0.7437185929648241,0.7075300423618915,0.38190954773869346,0.27636363636363637,-0.36180904522613067,-0.4311664059982552,"[[39, 38], [13, 109]]","[[76, 1], [122, 0]]",zero_normalized_baseline
step_04_N,M+MB+MR,"['M', 'MB', 'MR']",M,4,2026,198,0.797979797979798,0.7671957671957672,0.6313131313131313,0.4623367927686642,-0.16666666666666674,-0.304858974427103,"[[43, 33], [7, 115]]","[[7, 69], [4, 118]]",zero_normalized_baseline
step_04_N,M+MB+MR,"['M', 'MB', 'MR']",MB,4,2026,198,0.797979797979798,0.7671957671957672,0.702020202020202,0.6963742690058479,-0.09595959595959602,-0.07082149818991934,"[[43, 33], [7, 115]]","[[56, 20], [39, 83]]",zero_normalized_baseline
step_04_N,M+MB+MR,"['M', 'MB', 'MR']",MR,4,2026,198,0.797979797979798,0.7671957671957672,0.6616161616161617,0.6569877181641888,-0.13636363636363635,-0.11020804903157844,"[[43, 33], [7, 115]]","[[54, 22], [45, 77]]",zero_normalized_baseline
step_04_N,M+MB+MR,"['M', 'MB', 'MR']",M,5,2026,197,0.7360406091370558,0.7154444444444445,0.700507614213198,0.6122176625629733,-0.035532994923857864,-0.10322678188147127,"[[46, 29], [23, 99]]","[[22, 53], [6, 116]]",zero_normalized_baseline
step_04_N,M+MB+MR,"['M', 'MB', 'MR']",MB,5,2026,197,0.7360406091370558,0.7154444444444445,0.6852791878172588,0.6750212856534696,-0.050761421319796995,-0.04042315879097491,"[[46, 29], [23, 99]]","[[50, 25], [37, 85]]",zero_normalized_baseline
step_04_N,M+MB+MR,"['M', 'MB', 'MR']",MR,5,2026,197,0.7360406091370558,0.7154444444444445,0.47715736040609136,0.4411578396540803,-0.25888324873096447,-0.27428660479036426,"[[46, 29], [23, 99]]","[[72, 3], [100, 22]]",zero_normalized_baseline
step_04_N,M+MB+MP+MR+MUV,"['M', 'MB', 'MP', 'MR', 'MUV']",M,1,42,202,0.7673267326732673,0.7514854854330811,0.7871287128712872,0.7657686810667961,0.01980198019801982,0.01428319563371494,"[[52, 26], [21, 103]]","[[49, 29], [14, 110]]",zero_normalized_baseline
step_04_N,M+MB+MP+MR+MUV,"['M', 'MB', 'MP', 'MR', 'MUV']",MB,1,42,202,0.7673267326732673,0.7514854854330811,0.693069306930693,0.6893849206349206,-0.07425742574257432,-0.06210056479816051,"[[52, 26], [21, 103]]","[[59, 19], [43, 81]]",zero_normalized_baseline
