record_type,scheme,training_seed,accuracy,macro_f1,mae,auc,sensitivity,specificity,fold,train_n,eval_n,train_minutes,majority_acc,accuracy_std,macro_f1_std,mae_std,auc_std,sensitivity_std,specificity_std
fold_raw,M+MB+MR,3407,0.8090452261306532,0.7967204301075269,0.19095477386934673,0.8625374411638853,0.8536585365853658,0.7368421052631579,5.0,797.0,199.0,4.39,0.6180904522613065,,,,,,
fold_raw,M+MB+MR,2026,0.735,0.7245250656202085,0.265,0.8133248864956182,0.7560975609756098,0.7012987012987013,1.0,796.0,200.0,4.42,0.615,,,,,,
fold_raw,M+MB+MR,2026,0.7487437185929648,0.729560774081322,0.25125628140703515,0.7808175431126251,0.8278688524590164,0.6233766233766234,2.0,797.0,199.0,4.49,0.6130653266331658,,,,,,
fold_raw,M+MB+MR,2026,0.7738693467336684,0.7611044417767108,0.22613065326633167,0.841707472855014,0.819672131147541,0.7012987012987013,3.0,797.0,199.0,4.4,0.6130653266331658,,,,,,
fold_raw,M+MB+MR,2026,0.7738693467336684,0.7611044417767108,0.22613065326633167,0.8208172871202397,0.8130081300813008,0.7105263157894737,4.0,797.0,199.0,4.49,0.6180904522613065,,,,,,
fold_raw,M+MB+MR,2026,0.8040201005025126,0.7929571828731492,0.19597989949748743,0.8744116388532306,0.8373983739837398,0.75,5.0,797.0,199.0,4.34,0.6180904522613065,,,,,,
seed_summary,M+MB+MR,42,0.7680954773869347,0.7510380805645853,0.23190452261306532,0.825484882374232,0.833573237371718,0.663362952836637,,,,,,0.02078058362368624,0.02300451491562413,0.020780583623686236,0.01664526404878654,0.040529005953659186,0.06281386268985728
seed_summary,M+MB+MR,3407,0.7690854271356783,0.752377298529102,0.2309145728643216,0.8134360518722563,0.8351592696254831,0.6633287764866712,,,,,,0.025756658742135962,0.027396253614074946,0.02575665874213598,0.03482956056379472,0.024755333356934493,0.04342353744070796
seed_summary,M+MB+MR,2026,0.7671005025125628,0.7538503812256202,0.23289949748743716,0.8262157656873456,0.8108090097294415,0.6973000683527,,,,,,0.026561744094414034,0.027769335041724984,0.02656174409441402,0.03471005665261128,0.0319169476992345,0.04595886819998285
final,M+MB+MR,all,0.7680938023450586,0.7524219201064358,0.23190619765494136,0.821712233311278,0.8265138389088809,0.6746639325586695,,,,,,0.0009924633717102714,0.001406681223976183,0.000992463371710299,0.007176693668608948,0.013623880476722625,0.01960347608895086
fold_raw,M+MB+MP+MR+MUV,42,0.725,0.7141297850775747,0.275,0.8232499208108965,0.7479674796747967,0.6883116883116883,1.0,796.0,200.0,7.01,0.615,,,,,,
fold_raw,M+MB+MP+MR+MUV,42,0.7537688442211056,0.7233366434955313,0.24623115577889448,0.7951351926761763,0.8852459016393442,0.5454545454545454,2.0,797.0,199.0,7.11,0.6130653266331658,,,,,,
fold_raw,M+MB+MP+MR+MUV,42,0.7386934673366834,0.7095868881903906,0.2613065326633166,0.8058335107515436,0.860655737704918,0.5454545454545454,3.0,797.0,199.0,6.93,0.6130653266331658,,,,,,
fold_raw,M+MB+MP+MR+MUV,42,0.7638190954773869,0.7435074729192377,0.23618090452261306,0.8063756953359007,0.8455284552845529,0.631578947368421,4.0,797.0,199.0,7.02,0.6180904522613065,,,,,,
fold_raw,M+MB+MP+MR+MUV,42,0.8241206030150754,0.8122692110724778,0.17587939698492464,0.8624304664099273,0.8699186991869918,0.75,5.0,797.0,199.0,6.96,0.6180904522613065,,,,,,
fold_raw,M+MB+MP+MR+MUV,3407,0.765,0.7512635283533116,0.235,0.8153310104529616,0.8130081300813008,0.6883116883116883,1.0,796.0,200.0,6.91,0.615,,,,,,
fold_raw,M+MB+MP+MR+MUV,3407,0.7487437185929648,0.7144087256027555,0.25125628140703515,0.8175963380881415,0.8934426229508197,0.5194805194805194,2.0,797.0,199.0,7.11,0.6130653266331658,,,,,,
fold_raw,M+MB+MP+MR+MUV,3407,0.7587939698492462,0.7418378378378379,0.24120603015075376,0.8163721524377261,0.8278688524590164,0.6493506493506493,3.0,797.0,199.0,6.92,0.6130653266331658,,,,,,
fold_raw,M+MB+MP+MR+MUV,3407,0.7839195979899497,0.7705713596267796,0.21608040201005024,0.8292148053059478,0.8292682926829268,0.7105263157894737,4.0,797.0,199.0,7.01,0.6180904522613065,,,,,,
fold_raw,M+MB+MP+MR+MUV,3407,0.7135678391959799,0.7117041555470836,0.2864321608040201,0.8396448438168592,0.6422764227642277,0.8289473684210527,5.0,797.0,199.0,6.97,0.6180904522613065,,,,,,
fold_raw,M+MB+MP+MR+MUV,2026,0.785,0.7712705125136307,0.215,0.8054059761376835,0.8373983739837398,0.7012987012987013,1.0,796.0,200.0,6.98,0.615,,,,,,
fold_raw,M+MB+MP+MR+MUV,2026,0.7537688442211056,0.7422892935486428,0.24623115577889448,0.8035448158398978,0.7868852459016393,0.7012987012987013,2.0,797.0,199.0,7.04,0.6130653266331658,,,,,,
fold_raw,M+MB+MP+MR+MUV,2026,0.7135678391959799,0.6615747232747561,0.2864321608040201,0.7868852459016393,0.9016393442622951,0.4155844155844156,3.0,797.0,199.0,6.91,0.6130653266331658,,,,,,
fold_raw,M+MB+MP+MR+MUV,2026,0.7437185929648241,0.72493698674689,0.2562814070351759,0.7793645699614892,0.8130081300813008,0.631578947368421,4.0,797.0,199.0,6.97,0.6180904522613065,,,,,,
fold_raw,M+MB+MP+MR+MUV,2026,0.8391959798994975,0.8288172043010753,0.16080402010050251,0.8868741976893453,0.8780487804878049,0.7763157894736842,5.0,797.0,199.0,6.98,0.6180904522613065,,,,,,
seed_summary,M+MB+MP+MR+MUV,42,0.7610804020100501,0.7405660001510425,0.23891959798994974,0.8186049571968889,0.8418632546981207,0.63215994531784,,,,,,0.03820339158778811,0.04214686315294988,0.038203391587788106,0.026484644047948848,0.05443383529851907,0.08954787409294887
seed_summary,M+MB+MP+MR+MUV,3407,0.7540050251256281,0.7379571213935536,0.24599497487437186,0.8236318300203271,0.8011728641876582,0.6793233082706768,,,,,,0.025988230442107494,0.02499777051003376,0.025988230442107515,0.010554855646153275,0.09407960710235262,0.11168018562038456
seed_summary,M+MB+MP+MR+MUV,2026,0.7670502512562815,0.7457777440769989,0.2329497487437186,0.812414961106011,0.843395974943356,0.6452153110047847,,,,,,0.04771878585178594,0.06140457711415719,0.047718785851785954,0.04305832664283225,0.046759923629057516,0.13819761876862927
final,M+MB+MP+MR+MUV,all,0.7607118927973199,0.7414336218738651,0.2392881072026801,0.8182172494410755,0.828810697943045,0.6522328548644338,,,,,,0.006530415796859404,0.003981847608791673,0.006530415796859338,0.005618476220308882,0.023947331769016287,0.024352210220467213
fold_raw,M+MB,42,0.73,0.7198879551820728,0.27,0.7895681554218139,0.7479674796747967,0.7012987012987013,1.0,796.0,200.0,3.09,0.615,,,,,,
fold_raw,M+MB,42,0.7587939698492462,0.7388451443569554,0.24120603015075376,0.7972642111986374,0.8442622950819673,0.6233766233766234,2.0,797.0,199.0,3.1,0.6130653266331658,,,,,,
fold_raw,M+MB,42,0.7688442211055276,0.7430960933991917,0.23115577889447236,0.8446348733233978,0.8852459016393442,0.5844155844155844,3.0,797.0,199.0,3.08,0.6130653266331658,,,,,,
fold_raw,M+MB,42,0.7839195979899497,0.7717220221421902,0.21608040201005024,0.8049315361574668,0.8211382113821138,0.7236842105263158,4.0,797.0,199.0,3.07,0.6180904522613065,,,,,,
fold_raw,M+MB,42,0.7989949748743719,0.7732968785600365,0.20100502512562815,0.8350984167736414,0.9186991869918699,0.6052631578947368,5.0,797.0,199.0,3.07,0.6180904522613065,,,,,,
fold_raw,M+MB,3407,0.725,0.7116720400513747,0.275,0.7987012987012987,0.7642276422764228,0.6623376623376623,1.0,796.0,200.0,3.08,0.615,,,,,,
fold_raw,M+MB,3407,0.7437185929648241,0.7216783216783217,0.2562814070351759,0.7931126250798382,0.8360655737704918,0.5974025974025974,2.0,797.0,199.0,3.13,0.6130653266331658,,,,,,
