record_type,scheme,training_seed,accuracy,macro_f1,mae,adjacent_error_rate,far_error_rate,fold,train_n,eval_n,train_minutes,majority_acc,accuracy_std,macro_f1_std,mae_std,adjacent_error_rate_std,far_error_rate_std
fold_raw,M+MR,42,0.48,0.40019083969465646,0.71,0.365,0.155,1.0,796.0,200.0,3.51,0.325,,,,,
fold_raw,M+MR,42,0.4824120603015075,0.3969651325143412,0.7135678391959799,0.36683417085427134,0.1507537688442211,2.0,797.0,199.0,3.2,0.32663316582914576,,,,,
fold_raw,M+MR,42,0.44221105527638194,0.39635508986236034,0.6733668341708543,0.46733668341708545,0.09045226130653267,3.0,797.0,199.0,2.79,0.32663316582914576,,,,,
fold_raw,M+MR,42,0.4472361809045226,0.3697512762028891,0.7135678391959799,0.4221105527638191,0.1306532663316583,4.0,797.0,199.0,2.77,0.3316582914572864,,,,,
fold_raw,M+MR,42,0.4321608040201005,0.3785845930062637,0.7085427135678392,0.457286432160804,0.11055276381909548,5.0,797.0,199.0,2.78,0.32663316582914576,,,,,
fold_raw,M+MR,3407,0.455,0.3809218278744522,0.705,0.415,0.13,1.0,796.0,200.0,2.73,0.325,,,,,
fold_raw,M+MR,3407,0.46733668341708545,0.42750804750804755,0.7587939698492462,0.35678391959798994,0.17587939698492464,2.0,797.0,199.0,2.79,0.32663316582914576,,,,,
fold_raw,M+MR,3407,0.48743718592964824,0.4755604203756608,0.6432160804020101,0.40703517587939697,0.10552763819095477,3.0,797.0,199.0,2.78,0.32663316582914576,,,,,
fold_raw,M+MR,3407,0.457286432160804,0.4279243305278018,0.678391959798995,0.41708542713567837,0.12562814070351758,4.0,797.0,199.0,2.8,0.3316582914572864,,,,,
fold_raw,M+MR,3407,0.47738693467336685,0.4072033916773816,0.6482412060301508,0.4221105527638191,0.10050251256281408,5.0,797.0,199.0,2.78,0.32663316582914576,,,,,
fold_raw,M+MR,2026,0.45,0.3626668754974191,0.73,0.415,0.135,1.0,796.0,200.0,2.75,0.325,,,,,
fold_raw,M+MR,2026,0.457286432160804,0.37115396939018985,0.7236180904522613,0.40703517587939697,0.135678391959799,2.0,797.0,199.0,2.82,0.32663316582914576,,,,,
fold_raw,M+MR,2026,0.4271356783919598,0.3640953326713009,0.7386934673366834,0.44221105527638194,0.1306532663316583,3.0,797.0,199.0,2.77,0.32663316582914576,,,,,
fold_raw,M+MR,2026,0.4472361809045226,0.42706427334263947,0.6984924623115578,0.4321608040201005,0.12060301507537688,4.0,797.0,199.0,2.77,0.3316582914572864,,,,,
fold_raw,M+MR,2026,0.4472361809045226,0.3794275000972708,0.7085427135678392,0.4221105527638191,0.1306532663316583,5.0,797.0,199.0,2.77,0.32663316582914576,,,,,
seed_summary,M+MR,42,0.4568040201005025,0.3883693862561021,0.7038090452261306,0.415713567839196,0.12748241206030153,,,,,,0.02294347115443582,0.013414369889400134,0.017160506041542813,0.0484645023150641,0.027233587093015856
seed_summary,M+MR,3407,0.46888944723618087,0.4238236035926688,0.6867286432160804,0.40360301507537677,0.1275075376884422,,,,,,0.013658181451333913,0.03472708994101072,0.047358684566972925,0.026730147215879133,0.029841115248745432
seed_summary,M+MR,2026,0.44577889447236185,0.38088159019976403,0.7198693467336683,0.42370351758793967,0.1305175879396985,,,,,,0.011203325720937227,0.026660530191727084,0.016250342596517125,0.013876031634908517,0.006022073736393762
final,M+MR,all,0.4571574539363484,0.39769152668284496,0.7034690117252932,0.41434003350083753,0.1285025125628141,,,,,,0.011559329516436335,0.022938632373379154,0.016572968186068383,0.010120400078473892,0.0017451516854393495
fold_raw,M+MB+MR,42,0.465,0.3975463425463425,0.695,0.405,0.13,1.0,796.0,200.0,4.09,0.325,,,,,
fold_raw,M+MB+MR,42,0.4623115577889447,0.3884581186114938,0.7085427135678392,0.40703517587939697,0.1306532663316583,2.0,797.0,199.0,4.1,0.32663316582914576,,,,,
fold_raw,M+MB+MR,42,0.4221105527638191,0.37995614801071625,0.7286432160804021,0.4472361809045226,0.1306532663316583,3.0,797.0,199.0,4.08,0.32663316582914576,,,,,
fold_raw,M+MB+MR,42,0.47738693467336685,0.45304989866437834,0.6532663316582915,0.4120603015075377,0.11055276381909548,4.0,797.0,199.0,4.07,0.3316582914572864,,,,,
fold_raw,M+MB+MR,42,0.5125628140703518,0.45658674968273,0.6180904522613065,0.37185929648241206,0.11557788944723618,5.0,797.0,199.0,4.04,0.32663316582914576,,,,,
fold_raw,M+MB+MR,3407,0.455,0.3714141414141414,0.705,0.405,0.14,1.0,796.0,200.0,4.01,0.325,,,,,
fold_raw,M+MB+MR,3407,0.4723618090452261,0.40451224387145623,0.6984924623115578,0.4020100502512563,0.12562814070351758,2.0,797.0,199.0,4.05,0.32663316582914576,,,,,
fold_raw,M+MB+MR,3407,0.4824120603015075,0.38422557951793335,0.6532663316582915,0.41708542713567837,0.10050251256281408,3.0,797.0,199.0,4.05,0.32663316582914576,,,,,
fold_raw,M+MB+MR,3407,0.45226130653266333,0.39374666173630796,0.678391959798995,0.44221105527638194,0.10552763819095477,4.0,797.0,199.0,4.05,0.3316582914572864,,,,,
fold_raw,M+MB+MR,3407,0.5125628140703518,0.39384513969879825,0.6482412060301508,0.35175879396984927,0.135678391959799,5.0,797.0,199.0,4.06,0.32663316582914576,,,,,
fold_raw,M+MB+MR,2026,0.51,0.4363986928104575,0.65,0.355,0.135,1.0,796.0,200.0,4.07,0.325,,,,,
fold_raw,M+MB+MR,2026,0.45226130653266333,0.40383294056035607,0.6633165829145728,0.457286432160804,0.09045226130653267,2.0,797.0,199.0,4.07,0.32663316582914576,,,,,
fold_raw,M+MB+MR,2026,0.5025125628140703,0.4639311605224316,0.6532663316582915,0.3768844221105528,0.12060301507537688,3.0,797.0,199.0,4.09,0.32663316582914576,,,,,
fold_raw,M+MB+MR,2026,0.5025125628140703,0.4946410691741761,0.6030150753768844,0.4020100502512563,0.09547738693467336,4.0,797.0,199.0,4.06,0.3316582914572864,,,,,
fold_raw,M+MB+MR,2026,0.48743718592964824,0.43154842134197785,0.6733668341708543,0.3869346733668342,0.12562814070351758,5.0,797.0,199.0,4.08,0.32663316582914576,,,,,
seed_summary,M+MB+MR,42,0.46787437185929653,0.4151194515031322,0.6807085427135678,0.4086381909547739,0.12348743718592967,,,,,,0.03248491869588433,0.03679114833296683,0.044583685157212144,0.026786231715942483,0.009682179631107353
seed_summary,M+MB+MR,3407,0.4749195979899497,0.3895487532477274,0.676678391959799,0.40361306532663316,0.1214673366834171,,,,,,0.02444319715430169,0.012421631824908,0.02567927945441904,0.03303281725775815,0.017722329348919603
seed_summary,M+MB+MR,2026,0.49094472361809044,0.4460704568818798,0.6485929648241207,0.39562311557788943,0.1134321608040201,,,,,,0.023127056359165194,0.03452010079095439,0.027072558265242973,0.03847084196732253,0.019466538276537697
