record_type,scheme,fold,training_seed,baseline_accuracy,baseline_macro_f1,baseline_auc,baseline_sensitivity,baseline_specificity,delta_accuracy_M,after_accuracy_M,delta_macro_f1_M,after_macro_f1_M,delta_auc_M,after_auc_M,delta_sensitivity_M,after_sensitivity_M,delta_specificity_M,after_specificity_M,deeplift_share_M,deeplift_center_share_M,delta_accuracy_MB,after_accuracy_MB,delta_macro_f1_MB,after_macro_f1_MB,delta_auc_MB,after_auc_MB,delta_sensitivity_MB,after_sensitivity_MB,delta_specificity_MB,after_specificity_MB,deeplift_share_MB,deeplift_center_share_MB,delta_accuracy_MR,after_accuracy_MR,delta_macro_f1_MR,after_macro_f1_MR,delta_auc_MR,after_auc_MR,delta_sensitivity_MR,after_sensitivity_MR,delta_specificity_MR,after_specificity_MR,deeplift_share_MR,deeplift_center_share_MR,delta_accuracy_MP,after_accuracy_MP,delta_macro_f1_MP,after_macro_f1_MP,delta_auc_MP,after_auc_MP,delta_sensitivity_MP,after_sensitivity_MP,delta_specificity_MP,after_specificity_MP,deeplift_share_MP,deeplift_center_share_MP,delta_accuracy_MUV,after_accuracy_MUV,delta_macro_f1_MUV,after_macro_f1_MUV,delta_auc_MUV,after_auc_MUV,delta_sensitivity_MUV,after_sensitivity_MUV,delta_specificity_MUV,after_specificity_MUV,deeplift_share_MUV,deeplift_center_share_MUV
run,M+MR,2,2026,0.7336683417085427,0.7029432474299395,0.8013625718543751,0.860655737704918,0.5324675324675324,-0.12060301507537685,0.6130653266331658,-0.31097467475425206,0.39196857267568747,-0.13764104747711314,0.663721524377262,0.1311475409836066,0.9918032786885246,-0.5194805194805194,0.012987012987012988,0.44904591861800264,0.6603475789678783,,,,,,,,,,,,,-0.3467336683417085,0.3869346733668342,-0.41750646852718465,0.2854367789027549,-0.09378326591441344,0.7075793059399617,-0.8524590163934426,0.00819672131147541,0.4545454545454546,0.987012987012987,0.5509540813819959,0.5482388012284393,,,,,,,,,,,,,,,,,,,,,,,,
run,M+MR,3,42,0.7437185929648241,0.7340199701234373,0.8181818181818182,0.7622950819672131,0.7142857142857143,-0.08040201005025127,0.6633165829145728,-0.07655047750943611,0.6574694926140012,-0.10645092612305718,0.711730892058761,-0.11475409836065564,0.6475409836065574,-0.025974025974025983,0.6883116883116883,0.4497165871124564,0.6858257844045402,,,,,,,,,,,,,-0.35678391959798994,0.3869346733668342,-0.4550344628770605,0.27898550724637683,-0.10879284649776466,0.7093889716840536,-0.7622950819672131,0.0,0.2857142857142857,1.0,0.5502834128875423,0.5628881069311399,,,,,,,,,,,,,,,,,,,,,,,,
run,M+MR,3,3407,0.7487437185929648,0.7459141981613892,0.8237172663402171,0.6967213114754098,0.8311688311688312,-0.035175879396984966,0.7135678391959799,-0.03307148531867632,0.7128427128427128,-0.0524803065786672,0.7712369597615499,-0.07377049180327866,0.6229508196721312,0.02597402597402587,0.8571428571428571,0.43979941014271756,0.6599246144298779,,,,,,,,,,,,,-0.3316582914572865,0.41708542713567837,-0.40848595476299654,0.3374282433983926,-0.19629550777091742,0.6274217585692997,-0.639344262295082,0.05737704918032787,0.15584415584415579,0.987012987012987,0.5602005898572808,0.5368240406639011,,,,,,,,,,,,,,,,,,,,,,,,
run,M+MR,3,2026,0.7336683417085427,0.7157219481954664,0.8061528635299128,0.8032786885245902,0.6233766233766234,-0.03015075376884413,0.7035175879396985,-0.0973569230045026,0.6183650251909638,-0.08878007238662988,0.7173727911432829,0.15573770491803274,0.9590163934426229,-0.3246753246753247,0.2987012987012987,0.45787659945018266,0.697508674904591,,,,,,,,,,,,,-0.3366834170854271,0.3969849246231156,-0.41857101812718295,0.29715093006828347,-0.11730892058760933,0.6888439429423034,-0.7868852459016393,0.01639344262295082,0.37662337662337664,1.0,0.5421234005498157,0.5735000962483616,,,,,,,,,,,,,,,,,,,,,,,,
run,M+MR,4,42,0.7889447236180904,0.7786077558804831,0.8421052631578948,0.8130081300813008,0.75,-0.12562814070351758,0.6633165829145728,-0.12946694379659063,0.6491408120838925,-0.13960205391527614,0.7025032092426187,-0.11382113821138207,0.6991869918699187,-0.14473684210526316,0.6052631578947368,0.4544445171334825,0.6970593896048296,,,,,,,,,,,,,-0.41708542713567837,0.37185929648241206,-0.5075454848182122,0.27106227106227104,-0.17426187419768924,0.6678433889602056,-0.8130081300813008,0.0,0.22368421052631582,0.9736842105263158,0.545555482866516,0.5806685776946648,,,,,,,,,,,,,,,,,,,,,,,,
run,M+MR,4,3407,0.7788944723618091,0.7375299760191847,0.8388425331621737,0.9512195121951219,0.5,-0.035175879396984966,0.7437185929648241,-0.027692082546331154,0.7098378934728535,-0.023587933247753545,0.8152545999144202,-0.07317073170731703,0.8780487804878049,0.02631578947368418,0.5263157894736842,0.4317471625844186,0.5898404060596983,,,,,,,,,,,,,-0.3919597989949749,0.3869346733668342,-0.44592166602852173,0.29160830999066295,-0.26513692768506636,0.5737056054771074,-0.9349593495934959,0.016260162601626018,0.48684210526315785,0.9868421052631579,0.5682528374155801,0.45246892862582,,,,,,,,,,,,,,,,,,,,,,,,
run,M+MR,4,2026,0.7738693467336684,0.7375824175824176,0.7787227214377408,0.926829268292683,0.5263157894736842,-0.12060301507537685,0.6532663316582915,-0.16860228762667784,0.5689801299557398,-0.08445656824989312,0.6942661531878477,-0.04065040650406504,0.8861788617886179,-0.24999999999999994,0.27631578947368424,0.4231650353555547,0.601100644346367,,,,,,,,,,,,,-0.36180904522613067,0.4120603015075377,-0.3933492109917966,0.344233206590621,-0.1238232777064614,0.6548994437312794,-0.853658536585366,0.07317073170731707,0.4342105263157895,0.9605263157894737,0.5768349646444436,0.4530774945853026,,,,,,,,,,,,,,,,,,,,,,,,
run,M+MR,5,42,0.8140703517587939,0.8025846582835081,0.8515725288831836,0.8536585365853658,0.75,-0.10552763819095479,0.7085427135678392,-0.1069622954143098,0.6956223628691983,-0.07750320924261866,0.7740693196405649,-0.11382113821138207,0.7398373983739838,-0.09210526315789469,0.6578947368421053,0.4376537899746397,0.5584423638478699,,,,,,,,,,,,,-0.42713567839195976,0.3869346733668342,-0.5109763482928451,0.29160830999066295,-0.1584830979888746,0.693089430894309,-0.8373983739837398,0.016260162601626018,0.23684210526315785,0.9868421052631579,0.5623462100253587,0.45063737619360705,,,,,,,,,,,,,,,,,,,,,,,,
run,M+MR,5,3407,0.7939698492462312,0.7843645109284563,0.8580445014976466,0.8130081300813008,0.7631578947368421,-0.08040201005025127,0.7135678391959799,-0.12601084688219255,0.6583536640462637,-0.06407787762088157,0.793966623876765,0.08943089430894313,0.9024390243902439,-0.3552631578947369,0.40789473684210525,0.4456383096737585,0.682963987254229,,,,,,,,,,,,,-0.36180904522613067,0.4321608040201005,-0.40491808876326596,0.3794464221651903,-0.24347454000855795,0.6145699614890886,-0.6991869918699187,0.11382113821138211,0.18421052631578938,0.9473684210526315,0.5543616903262402,0.5635201209004325,,,,,,,,,,,,,,,,,,,,,,,,
run,M+MR,5,2026,0.7889447236180904,0.7786077558804831,0.8720047068891741,0.8130081300813008,0.75,-0.12562814070351758,0.6633165829145728,-0.2797541569329169,0.49885359894756626,-0.023373983739837345,0.8486307231493367,0.1869918699186992,1.0,-0.631578947368421,0.11842105263157894,0.43893086413175975,0.6141597874487283,,,,,,,,,,,,,-0.40201005025125625,0.3869346733668342,-0.49317097697772827,0.2854367789027549,-0.16725502781343593,0.7047496790757382,-0.8048780487804877,0.008130081300813009,0.25,1.0,0.5610691358682384,0.49894246466655484,,,,,,,,,,,,,,,,,,,,,,,,
run,M+MB+MP+MR+MUV,1,42,0.725,0.7141297850775747,0.8232499208108965,0.7479674796747967,0.6883116883116883,-0.039999999999999925,0.685,-0.03688395398558986,0.6772458310919849,-0.07718297962200416,0.7460669411888924,-0.06504065040650397,0.6829268292682927,0.0,0.6883116883116883,0.24007369695985847,0.6550145425914333,-0.29,0.435,-0.3413674415400654,0.37276234353750937,-0.11804455706894734,0.7052053637419492,-0.6504065040650406,0.0975609756097561,0.2857142857142857,0.974025974025974,0.23845971233539534,0.5724675612513056,-0.20499999999999996,0.52,-0.21627436087002166,0.4978554242075531,-0.05395417590539542,0.7692957449055011,-0.4959349593495935,0.25203252032520324,0.2597402597402597,0.948051948051948,0.29427339578262524,0.5336888763601253,0.040000000000000036,0.765,0.04344597249818283,0.7575757575757576,0.01309259845845201,0.8363425192693485,0.016260162601626105,0.7642276422764228,0.07792207792207795,0.7662337662337663,0.09112324282648442,0.6276093432058377,-0.039999999999999925,0.685,-0.034129785077574804,0.6799999999999999,-0.0639847956921129,0.7592651251187836,-0.08943089430894302,0.6585365853658537,0.038961038961038974,0.7272727272727273,0.13606995209563302,0.6088114657476321
run,M+MB+MP+MR+MUV,1,3407,0.765,0.7512635283533116,0.8153310104529616,0.8130081300813008,0.6883116883116883,-0.11499999999999999,0.65,-0.26117028826007144,0.4900932400932401,-0.13895048041389502,0.6763805300390666,0.1707317073170732,0.983739837398374,-0.5714285714285714,0.11688311688311688,0.24240946075135567,0.6249355138357895,-0.07500000000000007,0.69,-0.11687268037595566,0.6343908479773559,-0.11836131348326462,0.696969696969697,0.06504065040650409,0.8780487804878049,-0.2987012987012987,0.38961038961038963,0.23957916544802776,0.5435250070402967,-0.08999999999999997,0.675,-0.17095682940254475,0.5803066989507668,-0.14486326681448625,0.6704677436384754,0.12195121951219512,0.9349593495934959,-0.4285714285714286,0.2597402597402597,0.3010579176597408,0.5243724027356818,-0.03500000000000003,0.73,-0.029298746147565558,0.721964782205746,-0.0044345898004434225,0.8108964206525182,-0.08130081300813008,0.7317073170731707,0.038961038961038974,0.7272727272727273,0.08693407772621072,0.6165593002612954,-0.12,0.645,-0.1289331472261539,0.6223303811271577,-0.16175694224474702,0.6535740682082146,-0.08943089430894302,0.7235772357723578,-0.1688311688311689,0.5194805194805194,0.13001937841466218,0.5955241975913881
run,M+MB+MP+MR+MUV,1,2026,0.785,0.7712705125136307,0.8054059761376835,0.8373983739837398,0.7012987012987013,-0.10499999999999998,0.68,-0.18707092831404648,0.5841995841995842,-0.046246436490338994,0.7591595396473445,0.10569105691056913,0.943089430894309,-0.4415584415584416,0.2597402597402597,0.23234902447823588,0.5550270221114887,-0.05500000000000005,0.73,-0.04836410857274387,0.7229064039408868,0.008869179600886956,0.8142751557385705,-0.11382113821138207,0.7235772357723578,0.038961038961038974,0.7402597402597403,0.2452429623358503,0.4558197038609448,-0.12,0.665,-0.12766296975983404,0.6436075427537966,-0.12955337345581242,0.6758526026818711,-0.09756097560975607,0.7398373983739838,-0.1558441558441559,0.5454545454545454,0.30780460077281774,0.4343101610245299,-0.05500000000000005,0.73,-0.07426680922555973,0.6970037032880709,-0.02676591700981945,0.778640059127864,0.024390243902439046,0.8617886178861789,-0.18181818181818188,0.5194805194805194,0.08458204566943639,0.5467093966726793,-0.125,0.66,-0.1134605286166902,0.6578099838969405,-0.05532678703410421,0.7500791891035793,-0.2357723577235772,0.6016260162601627,0.051948051948051965,0.7532467532467533,0.13002136674365727,0.5203001059646518
