step,combination,modalities,input_channels,fold,training_seed,train_count,evaluation_count,train_class_0,train_class_1,evaluation_class_0,evaluation_class_1,parameter_count,accuracy,macro_f1,mae,sensitivity,specificity,class_0_precision,class_0_recall,class_0_f1,class_1_precision,class_1_recall,class_1_f1,confusion_matrix
step_03_N,M+MB,M+MB,6,1,2026,794,202,305,489,78,124,23521538,0.7673267326732673,0.7456260214880905,0.23267326732673269,0.8629032258064516,0.6153846153846154,0.7384615384615385,0.6153846153846154,0.6713286713286714,0.781021897810219,0.8629032258064516,0.8199233716475097,"[[48, 30], [17, 107]]"
step_03_N,M+MB,M+MB,6,2,2026,796,200,306,490,77,123,23521538,0.73,0.694708276797829,0.27,0.8699186991869918,0.5064935064935064,0.7090909090909091,0.5064935064935064,0.5909090909090908,0.7379310344827587,0.8699186991869918,0.7985074626865671,"[[39, 38], [16, 107]]"
step_03_N,M+MB,M+MB,6,3,2026,797,199,306,491,77,122,23521538,0.7386934673366834,0.7170822397200352,0.2613065326633166,0.8278688524590164,0.5974025974025974,0.6865671641791045,0.5974025974025974,0.638888888888889,0.7651515151515151,0.8278688524590164,0.7952755905511812,"[[46, 31], [21, 101]]"
step_03_N,M+MB,M+MB,6,4,2026,798,198,307,491,76,122,23521538,0.7474747474747475,0.708994708994709,0.25252525252525254,0.9016393442622951,0.5,0.76,0.5,0.6031746031746031,0.7432432432432432,0.9016393442622951,0.8148148148148148,"[[38, 38], [12, 110]]"
step_03_N,M+MB,M+MB,6,5,2026,799,197,308,491,75,122,23521538,0.7614213197969543,0.7332699565004466,0.23857868020304568,0.8770491803278688,0.5733333333333334,0.7413793103448276,0.5733333333333334,0.6466165413533834,0.7697841726618705,0.8770491803278688,0.8199233716475097,"[[43, 32], [15, 107]]"
step_03_N,M+MR,M+MR,6,1,42,794,202,305,489,78,124,23521538,0.7772277227722773,0.760757994472957,0.22277227722772278,0.8467741935483871,0.6666666666666666,0.7323943661971831,0.6666666666666666,0.697986577181208,0.8015267175572519,0.8467741935483871,0.8235294117647058,"[[52, 26], [19, 105]]"
step_03_N,M+MR,M+MR,6,2,42,796,200,306,490,77,123,23521538,0.715,0.7024974555703437,0.285,0.7479674796747967,0.6623376623376623,0.6219512195121951,0.6623376623376623,0.6415094339622641,0.7796610169491526,0.7479674796747967,0.7634854771784233,"[[51, 26], [31, 92]]"
step_03_N,M+MR,M+MR,6,3,42,797,199,306,491,77,122,23521538,0.7336683417085427,0.7070359156690091,0.2663316582914573,0.8442622950819673,0.5584415584415584,0.6935483870967742,0.5584415584415584,0.6187050359712231,0.7518248175182481,0.8442622950819673,0.7953667953667953,"[[43, 34], [19, 103]]"
step_03_N,M+MR,M+MR,6,4,42,798,198,307,491,76,122,23521538,0.7929292929292929,0.7756156886591669,0.20707070707070707,0.8688524590163934,0.6710526315789473,0.7611940298507462,0.6710526315789473,0.7132867132867132,0.8091603053435115,0.8688524590163934,0.8379446640316205,"[[51, 25], [16, 106]]"
step_03_N,M+MR,M+MR,6,5,42,799,197,308,491,75,122,23521538,0.766497461928934,0.7497238179407866,0.233502538071066,0.8278688524590164,0.6666666666666666,0.704225352112676,0.6666666666666666,0.6849315068493151,0.8015873015873016,0.8278688524590164,0.814516129032258,"[[50, 25], [21, 101]]"
