record_type,channel,training_seed,accuracy,macro_f1,mae,auc,sensitivity,specificity,fold,train_n,eval_n,majority_acc,precision_0,recall_0,f1_0,precision_1,recall_1,f1_1,train_minutes,accuracy_std,macro_f1_std,mae_std,auc_std,sensitivity_std,specificity_std
seed_summary,M,42,0.7480251256281407,0.7226226734141371,0.2519748743718593,0.7960896867044934,0.8500066640010662,0.5852358168147642,,,,,,,,,,,,0.02831391639583191,0.032773373093016894,0.02831391639583192,0.023096978559660506,0.04768050617907991,0.07778136690881796
seed_summary,M,3407,0.7530301507537688,0.7342947690898145,0.24696984924623117,0.8200184929445857,0.8269892043182725,0.6345181134654818,,,,,,,,,,,,0.024209710303470258,0.02496697747397793,0.024209710303470286,0.009095654060601343,0.02973527755658675,0.03612065913482984
seed_summary,M,2026,0.7429396984924623,0.7285868920325467,0.2570603015075377,0.8042946230029291,0.7862721578035451,0.6740259740259742,,,,,,,,,,,,0.035321888285105234,0.039378917262883006,0.03532188828510523,0.02093778671010876,0.03932806399324532,0.0857909438183232
final,M,all,0.7479983249581239,0.7285014448454993,0.25200167504187604,0.806800934217336,0.8210893420409612,0.6312599681020734,,,,,,,,,,,,0.005045279518159635,0.005836516964926296,0.00504527951815969,0.012159693209393353,0.032274263759672246,0.044484656206434485
fold_raw,MB,42,0.75,0.7214795008912656,0.25,0.7688206102840249,0.8699186991869918,0.5584415584415584,1.0,796.0,200.0,0.615,0.7288135593220338,0.5584415584415584,0.6323529411764706,0.7588652482269503,0.8699186991869918,0.8106060606060606,2.32,,,,,,
fold_raw,MB,42,0.7437185929648241,0.7051166574657872,0.2562814070351759,0.7883223334043007,0.9016393442622951,0.4935064935064935,2.0,797.0,199.0,0.6130653266331658,0.76,0.4935064935064935,0.5984251968503937,0.738255033557047,0.9016393442622951,0.8118081180811808,2.35,,,,,,
fold_raw,MB,42,0.7035175879396985,0.6759941496260728,0.2964824120603015,0.7911432829465617,0.8114754098360656,0.5324675324675324,3.0,797.0,199.0,0.6130653266331658,0.640625,0.5324675324675324,0.5815602836879432,0.7333333333333333,0.8114754098360656,0.7704280155642024,2.38,,,,,,
fold_raw,MB,42,0.7386934673366834,0.7293366813140825,0.2613065326633166,0.8004385964912282,0.7479674796747967,0.7236842105263158,4.0,797.0,199.0,0.6180904522613065,0.6395348837209303,0.7236842105263158,0.6790123456790124,0.8141592920353983,0.7479674796747967,0.7796610169491526,2.37,,,,,,
fold_raw,MB,42,0.8040201005025126,0.776346502982623,0.19597989949748743,0.8513585793752676,0.9349593495934959,0.5921052631578947,5.0,797.0,199.0,0.6180904522613065,0.8490566037735849,0.5921052631578947,0.6976744186046512,0.7876712328767124,0.9349593495934959,0.8550185873605948,2.36,,,,,,
fold_raw,MB,3407,0.74,0.7103386809269162,0.26,0.7454334283602576,0.8617886178861789,0.5454545454545454,1.0,796.0,200.0,0.615,0.711864406779661,0.5454545454545454,0.6176470588235294,0.75177304964539,0.8617886178861789,0.803030303030303,2.34,,,,,,
fold_raw,MB,3407,0.7487437185929648,0.7279636920384952,0.25125628140703515,0.7957738982329147,0.8360655737704918,0.6103896103896104,2.0,797.0,199.0,0.6130653266331658,0.7014925373134329,0.6103896103896104,0.6527777777777778,0.7727272727272727,0.8360655737704918,0.8031496062992126,2.33,,,,,,
fold_raw,MB,3407,0.7638190954773869,0.749229160522294,0.23618090452261306,0.8195124547583564,0.819672131147541,0.6753246753246753,3.0,797.0,199.0,0.6130653266331658,0.7027027027027027,0.6753246753246753,0.6887417218543046,0.8,0.819672131147541,0.8097165991902834,2.38,,,,,,
fold_raw,MB,3407,0.7688442211055276,0.7481844190140845,0.23115577889447236,0.7925224646983312,0.8536585365853658,0.631578947368421,4.0,797.0,199.0,0.6180904522613065,0.7272727272727273,0.631578947368421,0.676056338028169,0.7894736842105263,0.8536585365853658,0.8203125,2.36,,,,,,
fold_raw,MB,3407,0.7839195979899497,0.7446967210669213,0.21608040201005024,0.8593281985451433,0.9512195121951219,0.5131578947368421,5.0,797.0,199.0,0.6180904522613065,0.8666666666666667,0.5131578947368421,0.6446280991735537,0.7597402597402597,0.9512195121951219,0.8447653429602888,2.36,,,,,,
fold_raw,MB,2026,0.715,0.6739037157813439,0.285,0.7507127019322142,0.8699186991869918,0.4675324675324675,1.0,796.0,200.0,0.615,0.6923076923076923,0.4675324675324675,0.5581395348837209,0.722972972972973,0.8699186991869918,0.7896678966789668,2.33,,,,,,
fold_raw,MB,2026,0.7638190954773869,0.7402016610649704,0.23618090452261306,0.8012028954651905,0.8688524590163934,0.5974025974025974,2.0,797.0,199.0,0.6130653266331658,0.7419354838709677,0.5974025974025974,0.6618705035971223,0.7737226277372263,0.8688524590163934,0.8185328185328186,2.34,,,,,,
fold_raw,MB,2026,0.7487437185929648,0.7279636920384952,0.25125628140703515,0.8251011283798169,0.8360655737704918,0.6103896103896104,3.0,797.0,199.0,0.6130653266331658,0.7014925373134329,0.6103896103896104,0.6527777777777778,0.7727272727272727,0.8360655737704918,0.8031496062992126,2.36,,,,,,
fold_raw,MB,2026,0.7185929648241206,0.7004301075268817,0.2814070351758794,0.7650834403080874,0.7804878048780488,0.618421052631579,4.0,797.0,199.0,0.6180904522613065,0.6351351351351351,0.618421052631579,0.6266666666666667,0.768,0.7804878048780488,0.7741935483870968,2.37,,,,,,
fold_raw,MB,2026,0.7537688442211056,0.7463649369228769,0.24623115577889448,0.8280915703893881,0.7479674796747967,0.7631578947368421,5.0,797.0,199.0,0.6180904522613065,0.651685393258427,0.7631578947368421,0.703030303030303,0.8363636363636363,0.7479674796747967,0.7896995708154506,2.35,,,,,,
seed_summary,MB,42,0.7479899497487438,0.7216546984559662,0.2520100502512563,0.8000166805002766,0.853192056510729,0.580041011619959,,,,,,,,,,,,0.03614511770070249,0.03677169276917035,0.0361451177007025,0.030922719512835387,0.07437287923676421,0.08802969652143496
seed_summary,MB,3407,0.7610653266331658,0.7360825347137423,0.2389346733668342,0.8025140889190008,0.8644808743169399,0.5951811346548188,,,,,,,,,,,,0.017219045938780746,0.016749292481170186,0.017219045938780767,0.04159402609959225,0.05114492963430916,0.06553554603370956
seed_summary,MB,2026,0.7399849246231156,0.7177728226669137,0.2600150753768844,0.7940383472949394,0.8206584033053446,0.6113807245386191,,,,,,,,,,,,0.02188974082798437,0.030206306938397303,0.021889740827984353,0.034969083870774506,0.05450750410319302,0.10485056867064656
final,MB,all,0.749680067001675,0.7251700186122073,0.25031993299832495,0.7988563722380723,0.8461104447110045,0.5955342902711324,,,,,,,,,,,,0.010641344345186116,0.009647771538552417,0.010641344345186106,0.00435537431995994,0.02275333295699833,0.015672840860003912
fold_raw,MP,42,0.735,0.7097401352720502,0.265,0.776211593284764,0.8373983739837398,0.5714285714285714,1.0,796.0,200.0,0.615,0.6875,0.5714285714285714,0.624113475177305,0.7573529411764706,0.8373983739837398,0.7953667953667953,2.35,,,,,,
fold_raw,MP,42,0.7336683417085427,0.688189209164819,0.2663316582914573,0.8121673408558654,0.9098360655737705,0.45454545454545453,2.0,797.0,199.0,0.6130653266331658,0.7608695652173914,0.45454545454545453,0.5691056910569106,0.7254901960784313,0.9098360655737705,0.8072727272727273,2.36,,,,,,
fold_raw,MP,42,0.7135678391959799,0.6704244995205857,0.2864321608040201,0.7850223546944859,0.8770491803278688,0.45454545454545453,3.0,797.0,199.0,0.6130653266331658,0.7,0.45454545454545453,0.5511811023622047,0.7181208053691275,0.8770491803278688,0.7896678966789668,2.35,,,,,,
fold_raw,MP,42,0.8040201005025126,0.7858266412782515,0.19597989949748743,0.8163778348309799,0.8861788617886179,0.6710526315789473,4.0,797.0,199.0,0.6180904522613065,0.7846153846153846,0.6710526315789473,0.723404255319149,0.8134328358208955,0.8861788617886179,0.8482490272373541,2.36,,,,,,
fold_raw,MP,42,0.7537688442211056,0.7166807101141878,0.24623115577889448,0.835900727428327,0.9024390243902439,0.5131578947368421,5.0,797.0,199.0,0.6180904522613065,0.7647058823529411,0.5131578947368421,0.6141732283464567,0.75,0.9024390243902439,0.8191881918819188,2.36,,,,,,
fold_raw,MP,3407,0.73,0.694708276797829,0.27,0.723788406715236,0.8699186991869918,0.5064935064935064,1.0,796.0,200.0,0.615,0.7090909090909091,0.5064935064935064,0.5909090909090909,0.7379310344827587,0.8699186991869918,0.7985074626865671,2.35,,,,,,
fold_raw,MP,3407,0.7437185929648241,0.7216783216783217,0.2562814070351759,0.778794975516287,0.8360655737704918,0.5974025974025974,2.0,797.0,199.0,0.6130653266331658,0.696969696969697,0.5974025974025974,0.6433566433566433,0.7669172932330827,0.8360655737704918,0.8,2.37,,,,,,
fold_raw,MP,3407,0.7386934673366834,0.7232563115104835,0.2613065326633166,0.8081754311262509,0.7950819672131147,0.6493506493506493,3.0,797.0,199.0,0.6130653266331658,0.6666666666666666,0.6493506493506493,0.6578947368421053,0.782258064516129,0.7950819672131147,0.7886178861788617,2.36,,,,,,
fold_raw,MP,3407,0.7185929648241206,0.7034277198211625,0.2814070351758794,0.7373234916559692,0.7642276422764228,0.6447368421052632,4.0,797.0,199.0,0.6180904522613065,0.6282051282051282,0.6447368421052632,0.6363636363636364,0.7768595041322314,0.7642276422764228,0.7704918032786885,2.36,,,,,,
fold_raw,MP,3407,0.7738693467336684,0.7495595268059401,0.22613065326633167,0.8254706889174156,0.8780487804878049,0.6052631578947368,5.0,797.0,199.0,0.6180904522613065,0.7540983606557377,0.6052631578947368,0.6715328467153284,0.782608695652174,0.8780487804878049,0.8275862068965517,2.36,,,,,,
fold_raw,MP,2026,0.755,0.7240291740587423,0.245,0.7452750501530989,0.8861788617886179,0.5454545454545454,1.0,796.0,200.0,0.615,0.75,0.5454545454545454,0.631578947368421,0.7569444444444444,0.8861788617886179,0.8164794007490637,2.35,,,,,,
fold_raw,MP,2026,0.7537688442211056,0.7253626249823968,0.24623115577889448,0.7628273365978283,0.8770491803278688,0.5584415584415584,2.0,797.0,199.0,0.6130653266331658,0.7413793103448276,0.5584415584415584,0.6370370370370371,0.7588652482269503,0.8770491803278688,0.8136882129277566,2.36,,,,,,
fold_raw,MP,2026,0.7135678391959799,0.6583536640462637,0.2864321608040201,0.7417500532254631,0.9098360655737705,0.4025974025974026,3.0,797.0,199.0,0.6130653266331658,0.7380952380952381,0.4025974025974026,0.5210084033613446,0.7070063694267515,0.9098360655737705,0.7956989247311828,2.36,,,,,,
fold_raw,MP,2026,0.7537688442211056,0.7272981514109125,0.24623115577889448,0.7905434317501069,0.8617886178861789,0.5789473684210527,4.0,797.0,199.0,0.6180904522613065,0.7213114754098361,0.5789473684210527,0.6423357664233577,0.7681159420289855,0.8617886178861789,0.8122605363984674,2.36,,,,,,
fold_raw,MP,2026,0.7788944723618091,0.7669789227166277,0.22110552763819097,0.8258985879332478,0.8130081300813008,0.7236842105263158,5.0,797.0,199.0,0.6180904522613065,0.7051282051282052,0.7236842105263158,0.7142857142857143,0.8264462809917356,0.8130081300813008,0.819672131147541,2.36,,,,,,
seed_summary,MP,42,0.748005025125628,0.7141722390699788,0.2519949748743719,0.8051359702188844,0.8825803012128481,0.5329460013670541,,,,,,,,,,,,0.03439295431013653,0.04401497439966918,0.03439295431013651,0.02430775128244917,0.02838219099071079,0.09115811833688278
seed_summary,MP,3407,0.7409748743718593,0.7185260313227472,0.25902512562814073,0.7747105987862317,0.8286685325869652,0.6006493506493507,,,,,,,,,,,,0.020713382535335712,0.021157946307793194,0.020713382535335702,0.04388630000304657,0.04867079992967141,0.057473200299597856
