record_type,channel,training_seed,accuracy,macro_f1,mae,adjacent_error_rate,far_error_rate,fold,train_n,eval_n,majority_acc,train_minutes,precision_0,recall_0,f1_0,precision_1,recall_1,f1_1,precision_2,recall_2,f1_2,precision_3,recall_3,f1_3,precision_4,recall_4,f1_4,accuracy_std,macro_f1_std,mae_std,adjacent_error_rate_std,far_error_rate_std
fold_raw,MB,2026,0.4723618090452261,0.40212182516640044,0.6683417085427136,0.4120603015075377,0.11557788944723618,3.0,797.0,199.0,0.32663316582914576,2.39,0.25,0.14285714285714285,0.18181818181818182,0.5,0.32,0.3902439024390244,0.40540540540540543,0.3333333333333333,0.36585365853658536,0.43373493975903615,0.5538461538461539,0.4864864864864865,0.576271186440678,0.5964912280701754,0.5862068965517241,,,,,
fold_raw,MB,2026,0.3969849246231156,0.33302415458937196,0.7386934673366834,0.4824120603015075,0.12060301507537688,4.0,797.0,199.0,0.3316582914572864,2.37,0.0,0.0,0.0,0.55,0.44,0.4888888888888889,0.3541666666666667,0.38636363636363635,0.3695652173913043,0.38095238095238093,0.48484848484848486,0.4266666666666667,0.4418604651162791,0.3333333333333333,0.38,,,,,
fold_raw,MB,2026,0.44221105527638194,0.3751491901108269,0.6934673366834171,0.4321608040201005,0.12562814070351758,5.0,797.0,199.0,0.32663316582914576,2.37,0.0,0.0,0.0,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.35294117647058826,0.4,0.375,0.4246575342465753,0.47692307692307695,0.4492753623188406,0.5909090909090909,0.4482758620689655,0.5098039215686274,,,,,
seed_summary,MB,42,0.4367889447236181,0.37740400638778254,0.7479095477386934,0.4116281407035176,0.1515829145728643,,,,,,,,,,,,,,,,,,,,,0.03182583289251104,0.046517068223701136,0.051019944843651036,0.034331936319823224,0.019646972031648367
seed_summary,MB,3407,0.4618391959798995,0.3889148107295456,0.7148492462311558,0.3965979899497487,0.14156281407035176,,,,,,,,,,,,,,,,,,,,,0.01131956814165464,0.03433282019626758,0.01625426191117309,0.018058769716054388,0.009595496795294992
seed_summary,MB,2026,0.4558442211055277,0.3899851352021659,0.6927085427135677,0.4186884422110553,0.12546733668341709,,,,,,,,,,,,,,,,,,,,,0.0506427825255859,0.05400822237238218,0.05864700633223782,0.04389981644600382,0.020685653609345468
final,MB,all,0.4514907872696818,0.3854346507731647,0.7184891122278056,0.4089715242881072,0.13953768844221107,,,,,,,,,,,,,,,,,,,,,0.013080254646719325,0.006975301825191839,0.027779924537355467,0.011282297122538353,0.013175040891103915
fold_raw,MP,42,0.47,0.401463682502704,0.72,0.39,0.14,1.0,796.0,200.0,0.325,2.37,0.16666666666666666,0.125,0.14285714285714285,0.46153846153846156,0.5,0.48,0.35,0.3111111111111111,0.32941176470588235,0.49411764705882355,0.6461538461538462,0.56,0.5813953488372093,0.43103448275862066,0.49504950495049505,,,,,
fold_raw,MP,42,0.49748743718592964,0.4261280724695359,0.6381909547738693,0.4120603015075377,0.09045226130653267,2.0,797.0,199.0,0.32663316582914576,2.38,0.25,0.14285714285714285,0.18181818181818182,0.5,0.4,0.4444444444444444,0.4594594594594595,0.37777777777777777,0.4146341463414634,0.4725274725274725,0.6615384615384615,0.5512820512820513,0.5957446808510638,0.49122807017543857,0.5384615384615384,,,,,
fold_raw,MP,42,0.3969849246231156,0.3693115963098059,0.7537688442211056,0.48743718592964824,0.11557788944723618,3.0,797.0,199.0,0.32663316582914576,2.37,0.4,0.2857142857142857,0.3333333333333333,0.42857142857142855,0.36,0.391304347826087,0.25,0.15555555555555556,0.1917808219178082,0.3523809523809524,0.5692307692307692,0.43529411764705883,0.6,0.42105263157894735,0.4948453608247423,,,,,
