step,combination,modalities,input_channels,fold,training_seed,train_count,evaluation_count,train_class_counts,evaluation_class_counts,parameter_count,accuracy,macro_f1,mae,sensitivity,specificity,class_0_precision,class_0_recall,class_0_f1,class_1_precision,class_1_recall,class_1_f1,class_2_precision,class_2_recall,class_2_f1,class_3_precision,class_3_recall,class_3_f1,class_4_precision,class_4_recall,class_4_f1,confusion_matrix
step_06_N,M+MB,M+MB,6,1,3407,794,202,"{'0': 28, '1': 98, '2': 179, '3': 260, '4': 229}","{'0': 8, '1': 25, '2': 45, '3': 66, '4': 58}",23527685,0.4603960396039604,0.441458856411957,0.6831683168316832,0.4,0.375,0.375,0.375,0.375,0.5263157894736842,0.4,0.45454545454545453,0.39285714285714285,0.4888888888888889,0.43564356435643564,0.45121951219512196,0.5606060606060606,0.5,0.5675675675675675,0.3620689655172414,0.4421052631578948,"[[3, 3, 1, 1, 0], [3, 10, 8, 3, 1], [1, 3, 22, 16, 3], [0, 1, 16, 37, 12], [1, 2, 9, 25, 21]]"
step_06_N,M+MB,M+MB,6,2,3407,796,200,"{'0': 29, '1': 98, '2': 179, '3': 261, '4': 229}","{'0': 7, '1': 25, '2': 45, '3': 65, '4': 58}",23527685,0.49,0.44121642246642245,0.65,0.6,0.14285714285714285,0.5,0.14285714285714285,0.22222222222222224,0.42857142857142855,0.6,0.5,0.45652173913043476,0.4666666666666667,0.46153846153846156,0.47619047619047616,0.46153846153846156,0.46875,0.5740740740740741,0.5344827586206896,0.5535714285714285,"[[1, 5, 0, 1, 0], [0, 15, 6, 1, 3], [0, 9, 21, 9, 6], [1, 5, 15, 30, 14], [0, 1, 4, 22, 31]]"
step_06_N,M+MB,M+MB,6,3,3407,797,199,"{'0': 29, '1': 98, '2': 179, '3': 261, '4': 230}","{'0': 7, '1': 25, '2': 45, '3': 65, '4': 57}",23527685,0.4824120603015075,0.3876678876678877,0.7085427135678392,0.44,0.0,0.0,0.0,0.0,0.55,0.44,0.48888888888888893,0.391304347826087,0.4,0.3956043956043956,0.5254237288135594,0.47692307692307695,0.5000000000000001,0.4931506849315068,0.631578947368421,0.5538461538461539,"[[0, 5, 0, 2, 0], [0, 11, 7, 3, 4], [0, 4, 18, 12, 11], [1, 0, 11, 31, 22], [0, 0, 10, 11, 36]]"
step_06_N,M+MB,M+MB,6,4,3407,798,198,"{'0': 29, '1': 99, '2': 179, '3': 261, '4': 230}","{'0': 7, '1': 24, '2': 45, '3': 65, '4': 57}",23527685,0.4292929292929293,0.3532594494751543,0.6717171717171717,0.5416666666666666,0.0,0.0,0.0,0.0,0.4642857142857143,0.5416666666666666,0.5,0.358974358974359,0.3111111111111111,0.3333333333333333,0.4069767441860465,0.5384615384615384,0.4635761589403974,0.5609756097560976,0.40350877192982454,0.46938775510204084,"[[0, 4, 1, 2, 0], [3, 13, 5, 3, 0], [0, 10, 14, 18, 3], [1, 1, 13, 35, 15], [0, 0, 6, 28, 23]]"
step_06_N,M+MB,M+MB,6,5,3407,799,197,"{'0': 29, '1': 99, '2': 180, '3': 261, '4': 230}","{'0': 7, '1': 24, '2': 44, '3': 65, '4': 57}",23527685,0.4619289340101523,0.41298324555572596,0.7157360406091371,0.5,0.14285714285714285,0.2,0.14285714285714285,0.16666666666666666,0.5714285714285714,0.5,0.5333333333333333,0.2903225806451613,0.4090909090909091,0.339622641509434,0.5116279069767442,0.3384615384615385,0.40740740740740744,0.5757575757575758,0.6666666666666666,0.6178861788617886,"[[1, 0, 5, 1, 0], [3, 12, 7, 1, 1], [1, 5, 18, 12, 8], [0, 2, 22, 22, 19], [0, 2, 10, 7, 38]]"
step_06_N,M+MB,M+MB,6,1,2026,794,202,"{'0': 28, '1': 98, '2': 179, '3': 260, '4': 229}","{'0': 8, '1': 25, '2': 45, '3': 66, '4': 58}",23527685,0.48514851485148514,0.4322294794149862,0.6683168316831684,0.6,0.125,0.5,0.125,0.2,0.5769230769230769,0.6,0.5882352941176471,0.34210526315789475,0.28888888888888886,0.3132530120481927,0.4838709677419355,0.45454545454545453,0.46874999999999994,0.527027027027027,0.6724137931034483,0.5909090909090909,"[[1, 1, 2, 0, 4], [0, 15, 8, 2, 0], [0, 9, 13, 17, 6], [0, 1, 10, 30, 25], [1, 0, 5, 13, 39]]"
step_06_N,M+MB,M+MB,6,2,2026,796,200,"{'0': 29, '1': 98, '2': 179, '3': 261, '4': 229}","{'0': 7, '1': 25, '2': 45, '3': 65, '4': 58}",23527685,0.475,0.38298360968172285,0.675,0.52,0.0,0.0,0.0,0.0,0.43333333333333335,0.52,0.4727272727272728,0.425,0.37777777777777777,0.3999999999999999,0.46835443037974683,0.5692307692307692,0.5138888888888888,0.5833333333333334,0.4827586206896552,0.5283018867924529,"[[0, 4, 1, 2, 0], [2, 13, 6, 2, 2], [0, 8, 17, 12, 8], [1, 5, 12, 37, 10], [0, 0, 4, 26, 28]]"
step_06_N,M+MB,M+MB,6,3,2026,797,199,"{'0': 29, '1': 98, '2': 179, '3': 261, '4': 230}","{'0': 7, '1': 25, '2': 45, '3': 65, '4': 57}",23527685,0.4472361809045226,0.4081964088489129,0.7587939698492462,0.64,0.14285714285714285,0.5,0.14285714285714285,0.22222222222222224,0.48484848484848486,0.64,0.5517241379310344,0.3783783783783784,0.3111111111111111,0.34146341463414637,0.4594594594594595,0.5230769230769231,0.48920863309352514,0.4528301886792453,0.42105263157894735,0.43636363636363634,"[[1, 3, 0, 1, 2], [1, 16, 2, 2, 4], [0, 9, 14, 16, 6], [0, 3, 11, 34, 17], [0, 2, 10, 21, 24]]"
step_06_N,M+MB,M+MB,6,4,2026,798,198,"{'0': 29, '1': 99, '2': 179, '3': 261, '4': 230}","{'0': 7, '1': 24, '2': 45, '3': 65, '4': 57}",23527685,0.4494949494949495,0.4064486708801933,0.7424242424242424,0.4583333333333333,0.2857142857142857,0.2222222222222222,0.2857142857142857,0.25,0.3793103448275862,0.4583333333333333,0.4150943396226415,0.35714285714285715,0.3333333333333333,0.3448275862068965,0.47619047619047616,0.46153846153846156,0.46875,0.5636363636363636,0.543859649122807,0.5535714285714286,"[[2, 3, 0, 1, 1], [3, 11, 6, 4, 0], [3, 8, 15, 13, 6], [1, 3, 14, 30, 17], [0, 4, 7, 15, 31]]"
step_06_N,M+MB,M+MB,6,5,2026,799,197,"{'0': 29, '1': 99, '2': 180, '3': 261, '4': 230}","{'0': 7, '1': 24, '2': 44, '3': 65, '4': 57}",23527685,0.4213197969543147,0.3422868468980641,0.8324873096446701,0.625,0.0,0.0,0.0,0.0,0.30612244897959184,0.625,0.4109589041095891,0.3953488372093023,0.38636363636363635,0.3908045977011494,0.4782608695652174,0.3384615384615385,0.39639639639639646,0.5178571428571429,0.5087719298245614,0.5132743362831859,"[[0, 5, 2, 0, 0], [1, 15, 4, 2, 2], [0, 12, 17, 8, 7], [0, 9, 16, 22, 18], [2, 8, 4, 14, 29]]"
