record_type,scheme,fold,training_seed,baseline_accuracy,baseline_macro_f1,baseline_mae,delta_accuracy_M,after_accuracy_M,delta_macro_f1_M,after_macro_f1_M,delta_mae_M,after_mae_M,deeplift_share_M,deeplift_center_share_M,delta_accuracy_MB,after_accuracy_MB,delta_macro_f1_MB,after_macro_f1_MB,delta_mae_MB,after_mae_MB,deeplift_share_MB,deeplift_center_share_MB,delta_accuracy_MR,after_accuracy_MR,delta_macro_f1_MR,after_macro_f1_MR,delta_mae_MR,after_mae_MR,deeplift_share_MR,deeplift_center_share_MR,delta_accuracy_MP,after_accuracy_MP,delta_macro_f1_MP,after_macro_f1_MP,delta_mae_MP,after_mae_MP,deeplift_share_MP,deeplift_center_share_MP,delta_accuracy_MUV,after_accuracy_MUV,delta_macro_f1_MUV,after_macro_f1_MUV,delta_mae_MUV,after_mae_MUV,deeplift_share_MUV,deeplift_center_share_MUV
run,M+MR,3,3407,0.4723618090452261,0.3857371332371332,0.6733668341708543,-0.1608040201005025,0.31155778894472363,-0.24849150537225337,0.13724562786487984,0.23115577889447236,0.9045226130653267,0.44860172248337377,0.7073117422380265,,,,,,,,,-0.34673366834170855,0.12562814070351758,-0.34109427609427606,0.044642857142857144,1.100502512562814,1.7738693467336684,0.5513982775166236,0.5849435076518954,,,,,,,,,,,,,,,,
run,M+MR,3,2026,0.4472361809045226,0.42365108575634897,0.6884422110552764,-0.12562814070351758,0.32160804020100503,-0.18400011173037495,0.23965097402597402,0.22613065326633164,0.914572864321608,0.45393325036010507,0.6924937063876033,,,,,,,,,-0.3517587939698492,0.09547738693467336,-0.36142886353412673,0.06222222222222222,1.5477386934673365,2.236180904522613,0.546066749639892,0.5872487671393775,,,,,,,,,,,,,,,,
run,M+MR,4,42,0.49748743718592964,0.4051763609953265,0.6432160804020101,-0.1407035175879397,0.35678391959798994,-0.18541142039773822,0.21976494059758828,0.3266331658291457,0.9698492462311558,0.46402016635250914,0.7509436506268635,,,,,,,,,-0.37185929648241206,0.12562814070351758,-0.34575285766938413,0.05942350332594235,1.1256281407035176,1.7688442211055277,0.5359798336474878,0.6554464121340416,,,,,,,,,,,,,,,,
run,M+MR,4,3407,0.49748743718592964,0.4468072601511919,0.6231155778894473,-0.185929648241206,0.31155778894472363,-0.2940483757437719,0.15275888440741997,0.5477386934673367,1.170854271356784,0.4564168526833375,0.7019018797570223,,,,,,,,,-0.36180904522613067,0.135678391959799,-0.34603345062738233,0.10077380952380952,1.1457286432160805,1.7688442211055277,0.5435831473166588,0.5935377811489768,,,,,,,,,,,,,,,,
run,M+MR,4,2026,0.507537688442211,0.4540981885574314,0.6231155778894473,-0.1959798994974874,0.31155778894472363,-0.23981247427171712,0.21428571428571427,0.4623115577889447,1.085427135678392,0.46307322886770247,0.6974742584860382,,,,,,,,,-0.38190954773869346,0.12562814070351758,-0.40945533141457424,0.044642857142857144,1.1557788944723617,1.778894472361809,0.5369267711322939,0.6085681808274571,,,,,,,,,,,,,,,,
run,M+MR,5,42,0.5175879396984925,0.44275270184361093,0.5829145728643216,-0.20603015075376885,0.31155778894472363,-0.2911104254208467,0.15164227642276423,0.592964824120603,1.1758793969849246,0.4536888409930884,0.7009094459077789,,,,,,,,,-0.3919597989949749,0.12562814070351758,-0.3502847531256622,0.09246794871794872,1.1658291457286434,1.7487437185929648,0.5463111590069083,0.5900287119008981,,,,,,,,,,,,,,,,
run,M+MR,5,3407,0.5276381909547738,0.4522559308875099,0.5979899497487438,-0.23618090452261303,0.2914572864321608,-0.3616309308875099,0.090625,0.6683417085427135,1.2663316582914572,0.44355984213441657,0.6879124675465689,,,,,,,,,-0.41206030150753764,0.11557788944723618,-0.4106269716114918,0.041628959276018104,1.2010050251256281,1.7989949748743719,0.5564401578655808,0.5581535555795468,,,,,,,,,,,,,,,,
run,M+MR,5,2026,0.542713567839196,0.4686817932642581,0.628140703517588,-0.19597989949748745,0.34673366834170855,-0.20856690814937295,0.2601148851148851,0.3467336683417085,0.9748743718592965,0.45107628526994764,0.6758867494296278,,,,,,,,,-0.42211055276381915,0.12060301507537688,-0.425632465909998,0.04304932735426009,1.1608040201005023,1.7889447236180904,0.5489237147300484,0.5731972195176042,,,,,,,,,,,,,,,,
run,M+MB+MP+MR+MUV,1,42,0.52,0.4744861091893055,0.59,-0.135,0.385,-0.1549959154425798,0.3194901937467257,0.33000000000000007,0.92,0.2526443065055546,0.6477696225514457,-0.255,0.265,-0.30462179439961756,0.16986431478968794,0.475,1.065,0.24142048129696989,0.5875151604253219,-0.15500000000000003,0.365,-0.19262255184008675,0.28186355734921875,0.33000000000000007,0.92,0.2919686882641033,0.5622933564436495,-0.06,0.46,-0.12165117064008119,0.3528349385492243,0.11499999999999999,0.705,0.08545416690608848,0.655165483676396,-0.15500000000000003,0.365,-0.2367388281213193,0.2377472810679862,0.45499999999999996,1.045,0.1285123570272796,0.6447501566637456
run,M+MB+MP+MR+MUV,1,3407,0.495,0.4214677953625322,0.64,-0.08500000000000002,0.41,-0.1173432084313713,0.3041245869311609,0.125,0.765,0.24315193167415433,0.6392218797974956,-0.15999999999999998,0.335,-0.158843777940608,0.2626240174219242,0.45000000000000007,1.09,0.23901381848043135,0.5630119178741092,-0.12,0.375,-0.19941149905086653,0.22205629631166568,0.19499999999999995,0.835,0.30085304125453655,0.539093813531936,-0.025000000000000022,0.47,-0.034169719013360966,0.38729807634917124,0.06999999999999995,0.71,0.08569937387986833,0.6315898707721641,-0.15999999999999998,0.335,-0.22346413658768893,0.19800365877484327,0.38,1.02,0.13128183471100482,0.6147744483444266
run,M+MB+MP+MR+MUV,1,2026,0.5,0.4091573715686293,0.625,-0.245,0.255,-0.20923154518305173,0.19992582638557757,0.6100000000000001,1.235,0.24619910328839528,0.6976678449334794,-0.14,0.36,-0.09707029365844205,0.31208707791018725,0.17000000000000004,0.795,0.2397147430564251,0.6212873288377622,-0.195,0.305,-0.18903960932084607,0.22011776224778323,0.4650000000000001,1.09,0.29619227062382397,0.5958736533940154,0.0,0.5,-0.027607728387451957,0.38154964318117734,0.0,0.625,0.08715575504293965,0.6804487691782365,-0.020000000000000018,0.48,0.010709501040961689,0.419866872609591,0.09999999999999998,0.725,0.13073812798841292,0.6683754949601909
run,M+MB+MP+MR+MUV,2,42,0.5175879396984925,0.4671518322946895,0.592964824120603,-0.21105527638190957,0.3065326633165829,-0.3025235137533275,0.164628318541362,0.2864321608040201,0.8793969849246231,0.24515641686640818,0.708735951601317,-0.1407035175879397,0.3768844221105528,-0.1854124729430474,0.28173935935164207,0.33668341708542715,0.9296482412060302,0.24044162717563536,0.626950087816916,-0.2562814070351759,0.2613065326633166,-0.25820049317468774,0.20895133912000174,0.6381909547738692,1.2311557788944723,0.29195540193535297,0.5968459727179847,-0.03015075376884424,0.48743718592964824,0.0022884108531359137,0.4694402431478254,0.085427135678392,0.678391959798995,0.08957943841295346,0.6876015073002463,-0.07035175879396988,0.4472361809045226,-0.07545263459992746,0.391699197694762,0.17085427135678388,0.7638190954773869,0.13286711560964565,0.6731158751547316
run,M+MB+MP+MR+MUV,2,3407,0.48743718592964824,0.42918015745624094,0.6482412060301508,-0.10552763819095479,0.38190954773869346,-0.12950181891134666,0.2996783385448943,0.2412060301507537,0.8894472361809045,0.23917794115055407,0.6531068756286834,-0.25125628140703515,0.23618090452261306,-0.25211733401123104,0.17706282344500987,0.6030150753768844,1.2512562814070352,0.24258055734343384,0.5678585803554983,-0.1407035175879397,0.34673366834170855,-0.15595341104108873,0.2732267464151522,0.4974874371859297,1.1457286432160805,0.30548787399110083,0.5477301024145604,-0.01507537688442212,0.4723618090452261,-0.046655113934300996,0.38252504352193994,0.035175879396984855,0.6834170854271356,0.08419436485361122,0.6432950144823115,-0.055276381909547756,0.4321608040201005,-0.10106021731812587,0.3281199401381151,0.12562814070351758,0.7738693467336684,0.12855926266129644,0.625811297114864
run,M+MB+MP+MR+MUV,2,2026,0.44221105527638194,0.36042509228298397,0.6984924623115578,0.0552763819095477,0.49748743718592964,0.02094141035061231,0.3813665026335963,-0.04020100502512569,0.6582914572864321,0.24946879468646482,0.6939141237956266,-0.10050251256281412,0.3417085427135678,-0.10673157607072714,0.25369351621225683,0.27135678391959794,0.9698492462311558,0.24064850016363692,0.6240454425266097,-0.16080402010050254,0.2814070351758794,-0.13869840531357858,0.2217266869694054,0.46733668341708534,1.1658291457286432,0.2941837788434468,0.6037689744717029,0.04020100502512558,0.4824120603015075,0.041517399478340156,0.4019424917613241,-0.03015075376884424,0.6683417085427136,0.08594566860448205,0.6905760927522898,-0.09045226130653267,0.35175879396984927,-0.09827052247920925,0.2621545698037747,0.4371859296482412,1.135678391959799,0.1297532577019653,0.67630665601572
run,M+MB+MP+MR+MUV,3,42,0.46733668341708545,0.367830503634463,0.628140703517588,-0.06030150753768848,0.40703517587939697,-0.12522606757637395,0.24260443605808907,0.1758793969849246,0.8040201005025126,0.24790806063790116,0.6929284258233791,-0.15075376884422115,0.3165829145728643,-0.17935850222128513,0.18847200141317788,0.19095477386934667,0.8190954773869347,0.24640628534793485,0.6027895840069605,-0.20100502512562818,0.2663316582914573,-0.16869267987058206,0.19913782376388095,0.457286432160804,1.085427135678392,0.29185004919497914,0.5764336981084077,-0.03015075376884424,0.4371859296482412,-0.050214740087664966,0.31761576354679805,0.10050251256281406,0.7286432160804021,0.08599172070517733,0.6844029469512135,-0.06532663316582915,0.4020100502512563,-0.0788354492033031,0.2889950544311599,0.1105527638190954,0.7386934673366834,0.12784388411400247,0.665547179045073
run,M+MB+MP+MR+MUV,3,3407,0.5025125628140703,0.40017903069574806,0.6130653266331658,-0.10552763819095473,0.3969849246231156,-0.12938015181644008,0.270798878879308,0.16582914572864327,0.7788944723618091,0.24193934314262638,0.6295063396014959,-0.3065326633165829,0.19597989949748743,-0.26871775555668087,0.1314612751390672,0.7839195979899498,1.3969849246231156,0.24897195620540805,0.5394148359803493,-0.14070351758793964,0.36180904522613067,-0.14587956545510633,0.25429946524064173,0.19095477386934678,0.8040201005025126,0.3003569996301816,0.5136688148515363,-0.06030150753768837,0.44221105527638194,-0.06828966314163126,0.3318893675541168,0.10552763819095479,0.7185929648241206,0.08204003840326357,0.6332225079968279,-0.04020100502512558,0.4623115577889447,-0.11136929661665868,0.2888097340790894,0.10552763819095479,0.7185929648241206,0.12669166261851517,0.6115570979150129
run,M+MB+MP+MR+MUV,3,2026,0.4723618090452261,0.42787662757410655,0.6231155778894473,-0.09045226130653267,0.38190954773869346,-0.12919907243676565,0.2986775551373409,0.2562814070351759,0.8793969849246231,0.24308058012444897,0.7313109672568939,-0.3266331658291457,0.1457286432160804,-0.34645357001411325,0.08142305755999328,1.0301507537688441,1.6532663316582914,0.2423973186995686,0.6368950910769136,-0.10552763819095479,0.36683417085427134,-0.24274947154119,0.18512715603291655,0.2211055276381909,0.8442211055276382,0.2937331930427156,0.6140496980351098,-0.010050251256281395,0.4623115577889447,-0.03767600956328049,0.39020061801082606,0.07537688442211055,0.6984924623115578,0.08791498535420056,0.7068341093331765,0.01507537688442212,0.48743718592964824,-0.06969824815782394,0.3581783794162826,0.04020100502512558,0.6633165829145728,0.13287392277906132,0.6864400056181261
run,M+MB+MP+MR+MUV,4,42,0.507537688442211,0.4882151080935275,0.6080402010050251,-0.08542713567839194,0.4221105527638191,-0.16926498654142347,0.318950121552104,0.22613065326633164,0.8341708542713567,0.2551478572539175,0.7410962461969672,-0.1959798994974874,0.31155778894472363,-0.25286646622945974,0.2353486418640677,0.3316582914572864,0.9396984924623115,0.2389023450108879,0.6794972116002853,-0.1608040201005025,0.34673366834170855,-0.3167134350489561,0.17150167304457137,0.19095477386934678,0.7989949748743719,0.27890575696151637,0.6565711693394175,-0.060301507537688426,0.4472361809045226,-0.11440443624457808,0.3738106718489494,0.16582914572864327,0.7738693467336684,0.09140527910596256,0.7280721220271985,-0.08040201005025122,0.4271356783919598,-0.1514281857509579,0.3367869223425696,0.18592964824120606,0.7939698492462312,0.135638761667711,0.7171650637968804
run,M+MB+MP+MR+MUV,4,3407,0.4472361809045226,0.3765050618205958,0.6834170854271356,-0.025125628140703515,0.4221105527638191,-0.07174976164227204,0.30475530017832375,0.015075376884422176,0.6984924623115578,0.24248830723003403,0.7113552182630724,-0.11557788944723618,0.3316582914572864,-0.07888243101076353,0.29762263080983226,0.3517587939698493,1.035175879396985,0.2445624755090583,0.6149314506081907,-0.15577889447236182,0.2914572864321608,-0.14171088800546333,0.23479417381513246,0.5979899497487439,1.2814070351758795,0.29655303635617275,0.5905458397924968,-0.00502512562814067,0.44221105527638194,-0.025393312666999013,0.3511117491535968,0.05025125628140703,0.7336683417085427,0.08619562233420315,0.6962394602685753,-0.03015075376884424,0.41708542713567837,-0.04186596093948186,0.3346391008811139,0.1306532663316583,0.8140703517587939,0.1302005585705281,0.6807371736121733
