step,task,label_strategy,modality,fold,training_seed,train_count,evaluation_count,train_class_counts,evaluation_class_counts,parameter_count,accuracy,macro_f1,mae,class_0_precision,class_0_recall,class_0_f1,class_1_precision,class_1_recall,class_1_f1,class_2_precision,class_2_recall,class_2_f1,class_3_precision,class_3_recall,class_3_f1,class_4_precision,class_4_recall,class_4_f1,confusion_matrix
step_08_N,five_class,Soft Label epsilon=0.10 adjacent,MB,1,3407,794,202,"{""0"": 28, ""1"": 98, ""2"": 179, ""3"": 260, ""4"": 229}","{""0"": 8, ""1"": 25, ""2"": 45, ""3"": 66, ""4"": 58}",23518277,0.47029702970297027,0.39010223208466244,0.6386138613861386,0.0,0.0,0.0,0.6666666666666666,0.48,0.5581395348837209,0.375,0.3333333333333333,0.35294117647058826,0.41,0.6212121212121212,0.4939759036144578,0.6585365853658537,0.46551724137931033,0.5454545454545454,"[[0, 3, 2, 3, 0], [1, 12, 8, 4, 0], [1, 2, 15, 24, 3], [0, 1, 13, 41, 11], [1, 0, 2, 28, 27]]"
step_08_N,five_class,Soft Label epsilon=0.10 adjacent,MB,2,3407,796,200,"{""0"": 29, ""1"": 98, ""2"": 179, ""3"": 261, ""4"": 229}","{""0"": 7, ""1"": 25, ""2"": 45, ""3"": 65, ""4"": 58}",23518277,0.48,0.4344441787428062,0.62,0.3333333333333333,0.14285714285714285,0.2,0.5142857142857142,0.72,0.6,0.30952380952380953,0.28888888888888886,0.29885057471264365,0.44,0.5076923076923077,0.4714285714285715,0.6888888888888889,0.5344827586206896,0.6019417475728155,"[[1, 3, 2, 1, 0], [2, 18, 3, 2, 0], [0, 10, 13, 17, 5], [0, 4, 19, 33, 9], [0, 0, 5, 22, 31]]"
step_08_N,five_class,Soft Label epsilon=0.10 adjacent,MB,3,3407,797,199,"{""0"": 29, ""1"": 98, ""2"": 179, ""3"": 261, ""4"": 230}","{""0"": 7, ""1"": 25, ""2"": 45, ""3"": 65, ""4"": 57}",23518277,0.4824120603015075,0.3946825396825397,0.6984924623115578,0.0,0.0,0.0,0.55,0.44,0.48888888888888893,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.5384615384615384,0.5,0.5272727272727272,0.5087719298245614,0.5178571428571429,"[[0, 4, 0, 3, 0], [1, 11, 6, 3, 4], [1, 4, 21, 12, 7], [2, 1, 12, 35, 15], [0, 0, 6, 22, 29]]"
step_08_N,five_class,Soft Label epsilon=0.10 adjacent,MB,4,3407,798,198,"{""0"": 29, ""1"": 99, ""2"": 179, ""3"": 261, ""4"": 230}","{""0"": 7, ""1"": 24, ""2"": 45, ""3"": 65, ""4"": 57}",23518277,0.40404040404040403,0.3152881739886609,0.7424242424242424,0.0,0.0,0.0,0.4,0.3333333333333333,0.3636363636363636,0.3076923076923077,0.26666666666666666,0.28571428571428575,0.3709677419354839,0.35384615384615387,0.36220472440944884,0.5,0.6491228070175439,0.5648854961832062,"[[0, 3, 1, 1, 2], [2, 8, 9, 3, 2], [1, 7, 12, 19, 6], [0, 2, 13, 23, 27], [0, 0, 4, 16, 37]]"
step_08_N,five_class,Soft Label epsilon=0.10 adjacent,MB,5,3407,799,197,"{""0"": 29, ""1"": 99, ""2"": 180, ""3"": 261, ""4"": 230}","{""0"": 7, ""1"": 24, ""2"": 44, ""3"": 65, ""4"": 57}",23518277,0.4213197969543147,0.3303622090318664,0.7309644670050761,0.0,0.0,0.0,0.40625,0.5416666666666666,0.46428571428571425,0.32,0.18181818181818182,0.2318840579710145,0.45614035087719296,0.4,0.42622950819672134,0.45569620253164556,0.631578947368421,0.5294117647058824,"[[0, 6, 1, 0, 0], [2, 13, 6, 2, 1], [1, 9, 8, 15, 11], [0, 3, 5, 26, 31], [1, 1, 5, 14, 36]]"
step_08_N,five_class,Soft Label epsilon=0.10 adjacent,MB,1,2026,794,202,"{""0"": 28, ""1"": 98, ""2"": 179, ""3"": 260, ""4"": 229}","{""0"": 8, ""1"": 25, ""2"": 45, ""3"": 66, ""4"": 58}",23518277,0.46534653465346537,0.3646566461026391,0.6435643564356436,0.0,0.0,0.0,0.5,0.48,0.4897959183673469,0.35135135135135137,0.28888888888888886,0.31707317073170727,0.4,0.3333333333333333,0.3636363636363636,0.5465116279069767,0.8103448275862069,0.6527777777777777,"[[0, 4, 3, 0, 1], [0, 12, 8, 3, 2], [0, 6, 13, 22, 4], [0, 2, 10, 22, 32], [0, 0, 3, 8, 47]]"
step_08_N,five_class,Soft Label epsilon=0.10 adjacent,MB,2,2026,796,200,"{""0"": 29, ""1"": 98, ""2"": 179, ""3"": 261, ""4"": 229}","{""0"": 7, ""1"": 25, ""2"": 45, ""3"": 65, ""4"": 58}",23518277,0.475,0.3898800876282717,0.61,0.0,0.0,0.0,0.5,0.68,0.576271186440678,0.4,0.3111111111111111,0.35000000000000003,0.43902439024390244,0.5538461538461539,0.489795918367347,0.5957446808510638,0.4827586206896552,0.5333333333333333,"[[0, 5, 0, 1, 1], [2, 17, 4, 2, 0], [0, 10, 14, 16, 5], [0, 2, 14, 36, 13], [0, 0, 3, 27, 28]]"
step_08_N,five_class,Soft Label epsilon=0.10 adjacent,MB,3,2026,797,199,"{""0"": 29, ""1"": 98, ""2"": 179, ""3"": 261, ""4"": 230}","{""0"": 7, ""1"": 25, ""2"": 45, ""3"": 65, ""4"": 57}",23518277,0.507537688442211,0.4212954707571338,0.6582914572864321,0.0,0.0,0.0,0.6086956521739131,0.56,0.5833333333333334,0.45454545454545453,0.4444444444444444,0.44943820224719094,0.5151515151515151,0.5230769230769231,0.5190839694656489,0.532258064516129,0.5789473684210527,0.5546218487394958,"[[0, 5, 0, 1, 1], [2, 14, 3, 3, 3], [1, 4, 20, 13, 7], [1, 0, 12, 34, 18], [0, 0, 9, 15, 33]]"
step_08_N,five_class,Soft Label epsilon=0.10 adjacent,MB,4,2026,798,198,"{""0"": 29, ""1"": 99, ""2"": 179, ""3"": 261, ""4"": 230}","{""0"": 7, ""1"": 24, ""2"": 45, ""3"": 65, ""4"": 57}",23518277,0.41919191919191917,0.3391077406572385,0.7323232323232324,0.0,0.0,0.0,0.38461538461538464,0.4166666666666667,0.4,0.38,0.4222222222222222,0.4,0.3793103448275862,0.3384615384615385,0.35772357723577236,0.5161290322580645,0.5614035087719298,0.5378151260504201,"[[0, 3, 1, 2, 1], [1, 10, 9, 3, 1], [1, 8, 19, 12, 5], [0, 4, 16, 22, 23], [0, 1, 5, 19, 32]]"
step_08_N,five_class,Soft Label epsilon=0.10 adjacent,MB,5,2026,799,197,"{""0"": 29, ""1"": 99, ""2"": 180, ""3"": 261, ""4"": 230}","{""0"": 7, ""1"": 24, ""2"": 44, ""3"": 65, ""4"": 57}",23518277,0.467005076142132,0.415319459656809,0.6395939086294417,0.25,0.14285714285714285,0.18181818181818182,0.5714285714285714,0.5,0.5333333333333333,0.38461538461538464,0.3409090909090909,0.3614457831325301,0.4431818181818182,0.6,0.5098039215686274,0.5555555555555556,0.43859649122807015,0.4901960784313725,"[[1, 5, 1, 0, 0], [2, 12, 5, 4, 1], [1, 3, 15, 20, 5], [0, 1, 11, 39, 14], [0, 0, 7, 25, 25]]"
