step,modality,fold,training_seed,train_count,evaluation_count,train_class_0,train_class_1,evaluation_class_0,evaluation_class_1,parameter_count,accuracy,macro_f1,mae,sensitivity,specificity,class_0_precision,class_0_recall,class_0_f1,class_1_precision,class_1_recall,class_1_f1,confusion_matrix
step_02_N,MB,5,2026,799,197,308,491,75,122,23512130,0.7411167512690355,0.7183584223362207,0.25888324873096447,0.8278688524590164,0.6,0.6818181818181818,0.6,0.6382978723404256,0.7709923664122137,0.8278688524590164,0.7984189723320158,"[[45, 30], [21, 101]]"
step_02_N,MP,1,42,794,202,305,489,78,124,23512130,0.7376237623762376,0.6956707126410643,0.2623762376237624,0.9032258064516129,0.47435897435897434,0.7551020408163265,0.47435897435897434,0.5826771653543307,0.7320261437908496,0.9032258064516129,0.8086642599277979,"[[37, 41], [12, 112]]"
step_02_N,MP,2,42,796,200,306,490,77,123,23512130,0.735,0.7221566931404156,0.265,0.7723577235772358,0.6753246753246753,0.65,0.6753246753246753,0.6624203821656051,0.7916666666666666,0.7723577235772358,0.7818930041152262,"[[52, 25], [28, 95]]"
step_02_N,MP,3,42,797,199,306,491,77,122,23512130,0.7135678391959799,0.6676043956043956,0.2864321608040201,0.8852459016393442,0.44155844155844154,0.7083333333333334,0.44155844155844154,0.5439999999999999,0.7152317880794702,0.8852459016393442,0.7912087912087912,"[[34, 43], [14, 108]]"
step_02_N,MP,4,42,798,198,307,491,76,122,23512130,0.7525252525252525,0.7390462357782619,0.2474747474747475,0.7950819672131147,0.6842105263157895,0.6753246753246753,0.6842105263157895,0.6797385620915033,0.8016528925619835,0.7950819672131147,0.7983539094650205,"[[52, 24], [25, 97]]"
step_02_N,MP,5,42,799,197,308,491,75,122,23512130,0.6903553299492385,0.6651993424901791,0.3096446700507614,0.7786885245901639,0.5466666666666666,0.6029411764705882,0.5466666666666666,0.5734265734265734,0.7364341085271318,0.7786885245901639,0.7569721115537847,"[[41, 34], [27, 95]]"
step_02_N,MP,1,3407,794,202,305,489,78,124,23512130,0.7475247524752475,0.6991501912799696,0.2524752475247525,0.9354838709677419,0.44871794871794873,0.813953488372093,0.44871794871794873,0.5785123966942148,0.7295597484276729,0.9354838709677419,0.8197879858657243,"[[35, 43], [8, 116]]"
step_02_N,MP,2,3407,796,200,306,490,77,123,23512130,0.73,0.712,0.27,0.7967479674796748,0.6233766233766234,0.6575342465753424,0.6233766233766234,0.64,0.7716535433070866,0.7967479674796748,0.7839999999999999,"[[48, 29], [25, 98]]"
step_02_N,MP,3,3407,797,199,306,491,77,122,23512130,0.6532663316582915,0.6515416825275979,0.34673366834170855,0.5901639344262295,0.7532467532467533,0.5370370370370371,0.7532467532467533,0.627027027027027,0.7912087912087912,0.5901639344262295,0.6760563380281689,"[[58, 19], [50, 72]]"
step_02_N,MP,4,3407,798,198,307,491,76,122,23512130,0.7171717171717171,0.7051377513030529,0.2828282828282828,0.7459016393442623,0.6710526315789473,0.6219512195121951,0.6710526315789473,0.6455696202531646,0.7844827586206896,0.7459016393442623,0.7647058823529412,"[[51, 25], [31, 91]]"
step_02_N,MP,5,3407,799,197,308,491,75,122,23512130,0.6852791878172588,0.664524280377939,0.3147208121827411,0.7540983606557377,0.5733333333333334,0.589041095890411,0.5733333333333334,0.5810810810810811,0.7419354838709677,0.7540983606557377,0.7479674796747967,"[[43, 32], [30, 92]]"
step_02_N,MP,1,2026,794,202,305,489,78,124,23512130,0.7673267326732673,0.7471974437491677,0.23267326732673269,0.8548387096774194,0.6282051282051282,0.7313432835820896,0.6282051282051282,0.6758620689655171,0.7851851851851852,0.8548387096774194,0.8185328185328185,"[[49, 29], [18, 106]]"
step_02_N,MP,2,2026,796,200,306,490,77,123,23512130,0.74,0.7291666666666666,0.26,0.7642276422764228,0.7012987012987013,0.6506024096385542,0.7012987012987013,0.6749999999999999,0.8034188034188035,0.7642276422764228,0.7833333333333333,"[[54, 23], [29, 94]]"
step_02_N,MP,3,2026,797,199,306,491,77,122,23512130,0.6934673366834171,0.6628149218077275,0.3065326633165829,0.8114754098360656,0.5064935064935064,0.6290322580645161,0.5064935064935064,0.5611510791366906,0.7226277372262774,0.8114754098360656,0.7644787644787644,"[[39, 38], [23, 99]]"
step_02_N,MP,4,2026,798,198,307,491,76,122,23512130,0.7222222222222222,0.6909323116219668,0.2777777777777778,0.8442622950819673,0.5263157894736842,0.6779661016949152,0.5263157894736842,0.5925925925925927,0.7410071942446043,0.8442622950819673,0.789272030651341,"[[40, 36], [19, 103]]"
step_02_N,MP,5,2026,799,197,308,491,75,122,23512130,0.700507614213198,0.687629336988363,0.29949238578680204,0.7295081967213115,0.6533333333333333,0.5975609756097561,0.6533333333333333,0.6242038216560509,0.7739130434782608,0.7295081967213115,0.751054852320675,"[[49, 26], [33, 89]]"
step_02_N,MR,1,42,794,202,305,489,78,124,23512130,0.7722772277227723,0.7533184666029522,0.22772277227722773,0.8548387096774194,0.6410256410256411,0.7352941176470589,0.6410256410256411,0.6849315068493151,0.7910447761194029,0.8548387096774194,0.8217054263565892,"[[50, 28], [18, 106]]"
step_02_N,MR,2,42,796,200,306,490,77,123,23512130,0.755,0.7316465401571783,0.245,0.8536585365853658,0.5974025974025974,0.71875,0.5974025974025974,0.652482269503546,0.7720588235294118,0.8536585365853658,0.8108108108108107,"[[46, 31], [18, 105]]"
step_02_N,MR,3,42,797,199,306,491,77,122,23512130,0.6984924623115578,0.6899667636061488,0.3015075376884422,0.7049180327868853,0.6883116883116883,0.5955056179775281,0.6883116883116883,0.6385542168674699,0.7818181818181819,0.7049180327868853,0.7413793103448276,"[[53, 24], [36, 86]]"
step_02_N,MR,4,42,798,198,307,491,76,122,23512130,0.7727272727272727,0.7521902377972466,0.22727272727272727,0.860655737704918,0.631578947368421,0.7384615384615385,0.631578947368421,0.6808510638297872,0.7894736842105263,0.860655737704918,0.823529411764706,"[[48, 28], [17, 105]]"
step_02_N,MR,5,42,799,197,308,491,75,122,23512130,0.7208121827411168,0.7141839668680261,0.27918781725888325,0.7049180327868853,0.7466666666666667,0.6086956521739131,0.7466666666666667,0.6706586826347306,0.819047619047619,0.7049180327868853,0.7577092511013216,"[[56, 19], [36, 86]]"
step_02_N,MR,1,3407,794,202,305,489,78,124,23512130,0.7920792079207921,0.7688787185354691,0.2079207920792079,0.9032258064516129,0.6153846153846154,0.8,0.6153846153846154,0.6956521739130435,0.7887323943661971,0.9032258064516129,0.8421052631578947,"[[48, 30], [12, 112]]"
step_02_N,MR,2,3407,796,200,306,490,77,123,23512130,0.735,0.6916363636363636,0.265,0.9024390243902439,0.4675324675324675,0.75,0.4675324675324675,0.5760000000000001,0.7302631578947368,0.9024390243902439,0.8072727272727273,"[[36, 41], [12, 111]]"
step_02_N,MR,3,3407,797,199,306,491,77,122,23512130,0.7487437185929648,0.7226867335562988,0.25125628140703515,0.860655737704918,0.5714285714285714,0.7213114754098361,0.5714285714285714,0.6376811594202898,0.7608695652173914,0.860655737704918,0.8076923076923077,"[[44, 33], [17, 105]]"
step_02_N,MR,4,3407,798,198,307,491,76,122,23512130,0.7070707070707071,0.7001879699248119,0.29292929292929293,0.6967213114754098,0.7236842105263158,0.5978260869565217,0.7236842105263158,0.6547619047619048,0.8018867924528302,0.6967213114754098,0.7456140350877192,"[[55, 21], [37, 85]]"
step_02_N,MR,5,3407,799,197,308,491,75,122,23512130,0.7766497461928934,0.7546422101449275,0.2233502538071066,0.8688524590163934,0.6266666666666667,0.746031746031746,0.6266666666666667,0.6811594202898551,0.7910447761194029,0.8688524590163934,0.828125,"[[47, 28], [16, 106]]"
step_02_N,MR,1,2026,794,202,305,489,78,124,23512130,0.7475247524752475,0.7221907612652698,0.2524752475247525,0.8548387096774194,0.5769230769230769,0.7142857142857143,0.5769230769230769,0.6382978723404256,0.762589928057554,0.8548387096774194,0.8060836501901142,"[[45, 33], [18, 106]]"
step_02_N,MR,2,2026,796,200,306,490,77,123,23512130,0.72,0.6996996996996996,0.28,0.7967479674796748,0.5974025974025974,0.647887323943662,0.5974025974025974,0.6216216216216216,0.7596899224806202,0.7967479674796748,0.7777777777777777,"[[46, 31], [25, 98]]"
step_02_N,MR,3,2026,797,199,306,491,77,122,23512130,0.7638190954773869,0.7259194139194138,0.23618090452261306,0.9262295081967213,0.5064935064935064,0.8125,0.5064935064935064,0.6239999999999999,0.7483443708609272,0.9262295081967213,0.8278388278388279,"[[39, 38], [9, 113]]"
step_02_N,MR,4,2026,798,198,307,491,76,122,23512130,0.797979797979798,0.770965876229034,0.20202020202020202,0.9262295081967213,0.5921052631578947,0.8333333333333334,0.5921052631578947,0.6923076923076922,0.7847222222222222,0.9262295081967213,0.8496240601503758,"[[45, 31], [9, 113]]"
step_02_N,MR,5,2026,799,197,308,491,75,122,23512130,0.7868020304568528,0.7771493212669685,0.2131979695431472,0.8032786885245902,0.76,0.7037037037037037,0.76,0.7307692307692308,0.8448275862068966,0.8032786885245902,0.823529411764706,"[[57, 18], [24, 98]]"
step_02_N,MUV,1,42,794,202,305,489,78,124,23512130,0.7425742574257426,0.7176647672293301,0.25742574257425743,0.8467741935483871,0.5769230769230769,0.703125,0.5769230769230769,0.6338028169014084,0.7608695652173914,0.8467741935483871,0.8015267175572519,"[[45, 33], [19, 105]]"
step_02_N,MUV,2,42,796,200,306,490,77,123,23512130,0.76,0.7344839030866246,0.24,0.8699186991869918,0.5844155844155844,0.7377049180327869,0.5844155844155844,0.6521739130434783,0.7697841726618705,0.8699186991869918,0.8167938931297709,"[[45, 32], [16, 107]]"
step_02_N,MUV,3,42,797,199,306,491,77,122,23512130,0.7035175879396985,0.673870170273048,0.2964824120603015,0.819672131147541,0.5194805194805194,0.6451612903225806,0.5194805194805194,0.5755395683453237,0.7299270072992701,0.819672131147541,0.7722007722007722,"[[40, 37], [22, 100]]"
step_02_N,MUV,4,42,798,198,307,491,76,122,23512130,0.7828282828282829,0.7583652618135377,0.21717171717171718,0.8934426229508197,0.6052631578947368,0.7796610169491526,0.6052631578947368,0.6814814814814815,0.7841726618705036,0.8934426229508197,0.8352490421455939,"[[46, 30], [13, 109]]"
step_02_N,MUV,5,42,799,197,308,491,75,122,23512130,0.649746192893401,0.6460985706475044,0.350253807106599,0.6065573770491803,0.72,0.5294117647058824,0.72,0.6101694915254237,0.7789473684210526,0.6065573770491803,0.6820276497695852,"[[54, 21], [48, 74]]"
step_02_N,MUV,1,3407,794,202,305,489,78,124,23512130,0.698019801980198,0.6756941702855639,0.30198019801980197,0.782258064516129,0.5641025641025641,0.6197183098591549,0.5641025641025641,0.5906040268456376,0.7404580152671756,0.782258064516129,0.7607843137254903,"[[44, 34], [27, 97]]"
step_02_N,MUV,2,3407,796,200,306,490,77,123,23512130,0.735,0.7195099362282025,0.265,0.7886178861788617,0.6493506493506493,0.6578947368421053,0.6493506493506493,0.6535947712418301,0.782258064516129,0.7886178861788617,0.7854251012145749,"[[50, 27], [26, 97]]"
step_02_N,MUV,3,3407,797,199,306,491,77,122,23512130,0.7085427135678392,0.6969012605042016,0.2914572864321608,0.7377049180327869,0.6623376623376623,0.6144578313253012,0.6623376623376623,0.6375,0.7758620689655172,0.7377049180327869,0.7563025210084033,"[[51, 26], [32, 90]]"
step_02_N,MUV,4,3407,798,198,307,491,76,122,23512130,0.7121212121212122,0.6696425957907678,0.2878787878787879,0.8688524590163934,0.4605263157894737,0.6862745098039216,0.4605263157894737,0.5511811023622046,0.7210884353741497,0.8688524590163934,0.788104089219331,"[[35, 41], [16, 106]]"
step_02_N,MUV,5,3407,799,197,308,491,75,122,23512130,0.7106598984771574,0.6852241190816585,0.2893401015228426,0.8032786885245902,0.56,0.6363636363636364,0.56,0.5957446808510639,0.7480916030534351,0.8032786885245902,0.774703557312253,"[[42, 33], [24, 98]]"
step_02_N,MUV,1,2026,794,202,305,489,78,124,23512130,0.7227722772277227,0.6959466724008172,0.27722772277227725,0.8306451612903226,0.5512820512820513,0.671875,0.5512820512820513,0.6056338028169015,0.7463768115942029,0.8306451612903226,0.7862595419847328,"[[43, 35], [21, 103]]"
step_02_N,MUV,2,2026,796,200,306,490,77,123,23512130,0.745,0.7300944669365722,0.255,0.7967479674796748,0.6623376623376623,0.6710526315789473,0.6623376623376623,0.6666666666666666,0.7903225806451613,0.7967479674796748,0.7935222672064778,"[[51, 26], [25, 98]]"
step_02_N,MUV,3,2026,797,199,306,491,77,122,23512130,0.6984924623115578,0.6715448943661972,0.3015075376884422,0.8032786885245902,0.5324675324675324,0.6307692307692307,0.5324675324675324,0.5774647887323944,0.7313432835820896,0.8032786885245902,0.765625,"[[41, 36], [24, 98]]"
step_02_N,MUV,4,2026,798,198,307,491,76,122,23512130,0.7222222222222222,0.6785239852398524,0.2777777777777778,0.8852459016393442,0.4605263157894737,0.7142857142857143,0.4605263157894737,0.56,0.7248322147651006,0.8852459016393442,0.7970479704797047,"[[35, 41], [14, 108]]"
step_02_N,MUV,5,2026,799,197,308,491,75,122,23512130,0.6751269035532995,0.6698093442279489,0.3248730964467005,0.6475409836065574,0.72,0.5567010309278351,0.72,0.627906976744186,0.79,0.6475409836065574,0.7117117117117118,"[[54, 21], [43, 79]]"
